# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	OR4F16 (-115333)
Region8937	SLC25A28 (-10449)
Region8938	ENTPD7 (-231)
Region8939	CUTC (+147)
Region8940	ABCC2 (-10808)
Region8941	ABCC2 (-9563)
Region8942	ABCC2 (+63360)
Region8943	ABCC2 (+70149)
Region8944	ABCC2 (+87677)
Region8945	ABCC2 (+109344)
Region8946	DNMBP (+55318)
Region8947	DNMBP (+149)
Region8948	DNMBP (-21650)
Region8949	CPN1 (+35421)
Region8950	CPN1 (-52322)
Region8951	ERLIN1 (+2460)
Region8952	CHUK (+271)
Region8953	CWF19L1 (-45)
Region8954	BLOC1S2 (+9323)
Region8955	BLOC1S2 (+50)
Region8956	PKD2L1 (+8298)
Region8957	SCD (-5617)
Region8958	SCD (-295)
Region8959	SCD (+206)
Region8960	SCD (+23975)
Region8961	SCD (+26522)
Region8962	WNT8B (-29156)
Region8963	WNT8B (+18858)
Region8964	SEC31B (+10856)
Region8965	SEC31B (+8696)
Region8966	NDUFB8 (-23)
Region8967	HIF1AN (+53)
Region8968	HIF1AN (+26391)
Region8969	PAX2 (-74474)
Region8970	SLF2 (+145)
Region8971	MRPL43 (+356)
Region8972	LZTS2 (-1629)
Region8973	LZTS2 (-183)
Region8974	SFXN3 (+153)
Region8975	SFXN3 (+1005)
Region8976	SFXN3 (+10094)
Region8977	KAZALD1 (-1056)
Region8978	TLX1 (-30248)
Region8979	TLX1 (-9169)
Region8980	TLX1 (-7166)
Region8981	TLX1 (+1643)
Region8982	TLX1 (+11916)
Region8983	TLX1 (+31417)
Region8984	TLX1 (+41830)
Region8985	LBX1 (+15875)
Region8986	LBX1 (-31869)
Region8987	LBX1 (-61815)
Region8988	BTRC (+140)
Region8989	POLL (+78842)
Region8990	POLL (+38730)
Region8991	POLL (+18063)
Region8992	POLL (+112)
Region8993	FBXW4 (+36257)
Region8994	FBXW4 (+505)
Region8995	FBXW4 (-9460)
Region8996	FBXW4 (-35964)
Region8997	FGF8 (+39190)
Region8998	FGF8 (+1300)
Region8999	NPM3 (-6866)
Region9000	MGEA5 (+14)
Region9001	MGEA5 (-12376)
Region9002	KCNIP2 (-72181)
Region9003	C10orf76 (+82479)
Region9004	C10orf76 (+45727)
Region9005	C10orf76 (+31766)
Region9006	C10orf76 (+20013)
Region9007	C10orf76 (+139)
Region9008	HPS6 (+87)
Region9009	LDB1 (+26392)
Region9010	LDB1 (-114)
Region9011	PPRC1 (+11)
Region9012	NOLC1 (+139)
Region9013	NOLC1 (+17525)
Region9014	NOLC1 (+36829)
Region9015	ELOVL3 (-26057)
Region9016	ELOVL3 (-118)
Region9017	ELOVL3 (+4763)
Region9018	GBF1 (-78)
Region9019	GBF1 (+55970)
Region9020	NFKB2 (-33033)
Region9021	NFKB2 (-52)
Region9022	NFKB2 (+1119)
Region9023	FBXL15 (+1610)
Region9024	CUEDC2 (+81)
Region9025	C10orf95 (+1116)
Region9026	MFSD13A (-73)
Region9027	MFSD13A (+17660)
Region9028	ACTR1A (+201)
Region9029	SUFU (-26)
Region9030	SUFU (+18721)
Region9031	SUFU (+33377)
Region9032	SUFU (+60182)
Region9033	TRIM8 (-60457)
Region9034	TRIM8 (-31424)
Region9035	TRIM8 (-8985)
Region9036	TRIM8 (-2121)
Region9037	TRIM8 (-228)
Region9038	TRIM8 (+16600)
Region9039	TRIM8 (+29969)
Region9040	ARL3 (+76)
Region9041	WBP1L (+4)
Region9042	WBP1L (+9363)
Region9043	CYP17A1 (+2401)
Region9044	BORCS7 (+140)
Region9045	AS3MT (+449)
Region9046	AS3MT (+16086)
Region9047	CNNM2 (-8551)
Region9048	CNNM2 (-215)
Region9049	CNNM2 (+136077)
Region9050	NT5C2 (+103796)
Region9051	NT5C2 (+63616)
Region9052	NT5C2 (+20478)
Region9053	NT5C2 (+78)
Region9054	RPEL1 (+5125)
Region9055	INA (-10916)
Region9056	INA (+7179)
Region9057	PCGF6 (+22928)
Region9058	PCGF6 (+98)
Region9059	TAF5 (+358)
Region9060	PDCD11 (-186)
Region9061	CALHM2 (-104)
Region9062	CALHM3 (+7886)
Region9063	NEURL1 (+6787)
Region9064	NEURL1 (+90771)
Region9065	NEURL1 (+98110)
Region9066	SH3PXD2A (+177185)
Region9067	SH3PXD2A (+161561)
Region9068	SH3PXD2A (+91639)
Region9069	SH3PXD2A (+82854)
Region9070	SH3PXD2A (+69799)
Region9071	SH3PXD2A (+9076)
Region9072	SH3PXD2A (+6103)
Region9073	STN1 (+30131)
Region9074	STN1 (+29608)
Region9075	STN1 (+22205)
Region9076	STN1 (+9855)
Region9077	STN1 (+6949)
Region9078	STN1 (-92)
Region9079	SLK (-15475)
Region9080	SLK (-8)
Region9081	COL17A1 (+13576)
Region9082	SFR1 (-369)
Region9083	SFR1 (+27866)
Region9084	CFAP43 (+14097)
Region9085	CFAP43 (-65)
Region9086	GSTO1 (+337)
Region9087	GSTO1 (+1641)
Region9088	GSTO2 (-114)
Region9089	GSTO2 (+6049)
Region9090	GSTO2 (+22294)
Region9091	ITPRIP (+26252)
Region9092	ITPRIP (+4627)
Region9093	ITPRIP (+610)
Region9094	ITPRIP (-4503)
Region9095	CFAP58 (-86)
Region9096	CFAP58 (+689)
Region9097	CFAP58 (+48762)
Region9098	CFAP58 (+67340)
Region9099	CFAP58 (+79934)
Region9100	CFAP58 (+118545)
Region9101	SORCS3 (-130849)
Region9102	SORCS3 (-25499)
Region9103	SORCS3 (-2057)
Region9104	SORCS3 (+70411)
Region9105	SORCS3 (+84488)
Region9106	SORCS3 (+133740)
Region9107	SORCS3 (+136209)
Region9108	SORCS3 (+174184)
Region9109	SORCS3 (+407273)
Region9110	SORCS3 (+736539)
Region9111	SORCS3 (+738841)
Region9112	SORCS3 (+751562)
Region9113	SORCS3 (+912931)
Region9114	SORCS3 (+968030)
Region9115	NONE
Region9116	NONE
Region9117	NONE
Region9118	NONE
Region9119	NONE
Region9120	NONE
Region9121	NONE
Region9122	NONE
Region9123	SORCS1 (+987815)
Region9124	SORCS1 (+942339)
Region9125	SORCS1 (+937620)
Region9126	SORCS1 (+544036)
Region9127	SORCS1 (+527912)
Region9128	SORCS1 (+486988)
Region9129	SORCS1 (+436065)
Region9130	SORCS1 (+319586)
Region9131	SORCS1 (+318315)
Region9132	SORCS1 (+226112)
Region9133	SORCS1 (+225655)
Region9134	SORCS1 (+209611)
Region9135	SORCS1 (+209125)
Region9136	SORCS1 (+160957)
Region9137	SORCS1 (+66695)
Region9138	SORCS1 (-31331)
Region9139	SORCS1 (-146821)
Region9140	SORCS1 (-219639)
Region9141	SORCS1 (-302230)
Region9142	SORCS1 (-311173)
Region9143	SORCS1 (-416427)
Region9144	SORCS1 (-480409)
Region9145	SORCS1 (-620035)
Region9146	SORCS1 (-636696)
Region9147	SORCS1 (-750750)
Region9148	SORCS1 (-773449)
Region9149	SORCS1 (-786585)
Region9150	SORCS1 (-842535)
Region9151	SORCS1 (-902675)
Region9152	SORCS1 (-953116)
Region9153	SORCS1 (-954792)
Region9154	NONE
Region9155	NONE
Region9156	NONE
Region9157	NONE
Region9158	NONE
Region9159	NONE
Region9160	NONE
Region9161	NONE
Region9162	NONE
Region9163	NONE
Region9164	NONE
Region9165	NONE
Region9166	NONE
Region9167	NONE
Region9168	XPNPEP1 (+926373)
Region9169	XPNPEP1 (+862152)
Region9170	XPNPEP1 (+836861)
Region9171	XPNPEP1 (+740507)
Region9172	XPNPEP1 (+696536)
Region9173	XPNPEP1 (+695484)
Region9174	XPNPEP1 (+617603)
Region9175	XPNPEP1 (+609467)
Region9176	XPNPEP1 (+577703)
Region9177	XPNPEP1 (+541754)
Region9178	XPNPEP1 (+508603)
Region9179	XPNPEP1 (+501718)
Region9180	XPNPEP1 (+241043)
Region9181	XPNPEP1 (+240198)
Region9182	XPNPEP1 (+138182)
Region9183	XPNPEP1 (+127440)
Region9184	XPNPEP1 (+110624)
Region9185	XPNPEP1 (+109535)
Region9186	XPNPEP1 (+108952)
Region9187	XPNPEP1 (+94322)
Region9188	XPNPEP1 (+92913)
Region9189	XPNPEP1 (+92317)
Region9190	XPNPEP1 (+31094)
Region9191	XPNPEP1 (+155)
Region9192	XPNPEP1 (-10452)
Region9193	ADD3 (-14413)
Region9194	ADD3 (-48)
Region9195	ADD3 (+28025)
Region9196	MXI1 (-87262)
Region9197	MXI1 (-78491)
Region9198	MXI1 (-70156)
Region9199	MXI1 (-50432)
Region9200	MXI1 (+3044)
Region9201	MXI1 (+3608)
Region9202	MXI1 (+18394)
Region9203	MXI1 (+19073)
Region9204	MXI1 (+33505)
Region9205	SMNDC1 (+35227)
Region9206	SMNDC1 (+30915)
Region9207	SMNDC1 (+66)
Region9208	SMNDC1 (-6844)
Region9209	SMNDC1 (-9509)
Region9210	SMNDC1 (-78537)
Region9211	DUSP5 (-88467)
Region9212	DUSP5 (-83066)
Region9213	DUSP5 (-58565)
Region9214	DUSP5 (-37595)
Region9215	DUSP5 (-36992)
Region9216	DUSP5 (+154)
Region9217	SMC3 (-31276)
Region9218	SMC3 (-20977)
Region9219	SMC3 (-10560)
Region9220	SMC3 (+128)
Region9221	RBM20 (-7347)
Region9222	RBM20 (-495)
Region9223	RBM20 (-80)
Region9224	RBM20 (+258)
Region9225	RBM20 (+14626)
Region9226	RBM20 (+28081)
Region9227	PDCD4 (-104765)
Region9228	PDCD4 (-103894)
Region9229	PDCD4 (-88155)
Region9230	PDCD4 (-75329)
Region9231	PDCD4 (-18828)
Region9232	PDCD4 (-10981)
Region9233	PDCD4 (-7023)
Region9234	PDCD4 (+479)
Region9235	PDCD4 (+20794)
Region9236	BBIP1 (+15632)
Region9237	BBIP1 (-95)
Region9238	SHOC2 (+13045)
Region9239	ADRA2A (-70616)
Region9240	ADRA2A (-28497)
Region9241	ADRA2A (-19454)
Region9242	ADRA2A (-850)
Region9243	ADRA2A (+5484)
Region9244	ADRA2A (+73601)
Region9245	ADRA2A (+101322)
Region9246	ADRA2A (+101683)
Region9247	ADRA2A (+129339)
Region9248	ADRA2A (+232027)
Region9249	ADRA2A (+297916)
Region9250	ADRA2A (+323784)
Region9251	ADRA2A (+358666)
Region9252	ADRA2A (+404799)
Region9253	ADRA2A (+510942)
Region9254	ADRA2A (+511682)
Region9255	ADRA2A (+521571)
Region9256	ADRA2A (+531944)
Region9257	GPAM (+542709)
Region9258	GPAM (+469729)
Region9259	GPAM (+391071)
Region9260	GPAM (+386745)
Region9261	GPAM (+386304)
Region9262	GPAM (+369449)
Region9263	GPAM (+368599)
Region9264	GPAM (+348571)
Region9265	GPAM (+230705)
Region9266	GPAM (+183629)
Region9267	GPAM (+154886)
Region9268	GPAM (+116749)
Region9269	GPAM (+112163)
Region9270	GPAM (+46371)
Region9271	GPAM (+28)
Region9272	GPAM (-21967)
Region9273	GPAM (-44879)
Region9274	ACSL5 (-39891)
Region9275	ACSL5 (-86)
Region9276	ACSL5 (+18332)
Region9277	ZDHHC6 (+30064)
Region9278	VTI1A (-132)
Region9279	VTI1A (+24908)
Region9280	VTI1A (+36530)
Region9281	VTI1A (+147610)
Region9282	VTI1A (+199399)
Region9283	TCF7L2 (-221775)
Region9284	TCF7L2 (-152313)
Region9285	TCF7L2 (-128898)
Region9286	TCF7L2 (-54980)
Region9287	TCF7L2 (+618)
Region9288	TCF7L2 (+1152)
Region9289	TCF7L2 (+56983)
Region9290	TCF7L2 (+67794)
Region9291	TCF7L2 (+101925)
Region9292	TCF7L2 (+103200)
Region9293	TCF7L2 (+128516)
Region9294	TCF7L2 (+151767)
Region9295	TCF7L2 (+173355)
Region9296	TCF7L2 (+176448)
Region9297	TCF7L2 (+202192)
Region9298	TCF7L2 (+250723)
Region9299	TCF7L2 (+291870)
Region9300	HABP2 (-259758)
Region9301	HABP2 (-214781)
Region9302	HABP2 (-194626)
Region9303	HABP2 (-187848)
Region9304	HABP2 (-141608)
Region9305	HABP2 (-131345)
Region9306	HABP2 (-129844)
Region9307	HABP2 (-126006)
Region9308	HABP2 (-92141)
Region9309	HABP2 (-53701)
Region9310	HABP2 (+10674)
Region9311	HABP2 (+42001)
Region9312	NRAP (-4090)
Region9313	CASP7 (-2703)
Region9314	CASP7 (+88)
Region9315	CASP7 (+22629)
Region9316	PLEKHS1 (+14320)
Region9317	NHLRC2 (+103)
Region9318	NHLRC2 (+89874)
Region9319	ADRB1 (-82357)
Region9320	ADRB1 (-815)
Region9321	ADRB1 (+818)
Region9322	TDRD1 (-4876)
Region9323	VWA2 (+5474)
Region9324	VWA2 (+49753)
Region9325	AFAP1L2 (+74366)
Region9326	AFAP1L2 (+50837)
Region9327	AFAP1L2 (+19089)
Region9328	AFAP1L2 (+49)
Region9329	AFAP1L2 (-10676)
Region9330	AFAP1L2 (-66968)
Region9331	AFAP1L2 (-94327)
Region9332	AFAP1L2 (-121603)
Region9333	AFAP1L2 (-122382)
Region9334	ABLIM1 (+116895)
Region9335	ABLIM1 (+113896)
Region9336	ABLIM1 (+24734)
Region9337	ABLIM1 (-68451)
Region9338	ABLIM1 (-72572)
Region9339	ABLIM1 (-126510)
Region9340	TRUB1 (-116138)
Region9341	TRUB1 (-56247)
Region9342	TRUB1 (+157)
Region9343	ATRNL1 (-679)
Region9344	ATRNL1 (+57886)
Region9345	ATRNL1 (+108673)
Region9346	ATRNL1 (+160696)
Region9347	ATRNL1 (+164190)
Region9348	ATRNL1 (+251453)
Region9349	ATRNL1 (+269299)
Region9350	ATRNL1 (+293328)
Region9351	ATRNL1 (+398191)
Region9352	ATRNL1 (+431315)
Region9353	ATRNL1 (+439372)
Region9354	ATRNL1 (+488796)
Region9355	GFRA1 (+418852)
Region9356	GFRA1 (+380053)
Region9357	GFRA1 (+205375)
Region9358	GFRA1 (+169312)
Region9359	GFRA1 (+150550)
Region9360	GFRA1 (+100460)
Region9361	CCDC172 (-20552)
Region9362	PNLIPRP3 (-34210)
Region9363	PNLIPRP3 (-25356)
Region9364	PNLIPRP1 (+6888)
Region9365	PNLIPRP1 (+117289)
Region9366	ENO4 (-125580)
Region9367	ENO4 (-61358)
Region9368	SHTN1 (+42371)
Region9369	SHTN1 (-863)
Region9370	VAX1 (+58687)
Region9371	VAX1 (+57924)
Region9372	VAX1 (+33360)
Region9373	VAX1 (+11440)
Region9374	VAX1 (-24706)
Region9375	KCNK18 (-22188)
Region9376	KCNK18 (+19420)
Region9377	SLC18A2 (-16494)
Region9378	SLC18A2 (-5634)
Region9379	SLC18A2 (+14191)
Region9380	PDZD8 (+1529)
Region9381	PDZD8 (-297)
Region9382	EMX2 (-45579)
Region9383	EMX2 (+46085)
Region9384	EMX2 (+192706)
Region9385	EMX2 (+200727)
Region9386	RAB11FIP2 (+215526)
Region9387	RAB11FIP2 (+213090)
Region9388	RAB11FIP2 (+212270)
Region9389	RAB11FIP2 (+211547)
Region9390	RAB11FIP2 (-293)
Region9391	RAB11FIP2 (-20696)
Region9392	RAB11FIP2 (-21095)
Region9393	RAB11FIP2 (-112903)
Region9394	RAB11FIP2 (-259569)
Region9395	PRLHR (+253397)
Region9396	PRLHR (+187875)
Region9397	PRLHR (+136027)
Region9398	PRLHR (+131862)
Region9399	PRLHR (+111162)
Region9400	PRLHR (+105499)
Region9401	PRLHR (+51545)
Region9402	PRLHR (+39709)
Region9403	PRLHR (-36197)
Region9404	PRLHR (-62704)
Region9405	CACUL1 (+56650)
Region9406	CACUL1 (+50510)
Region9407	CACUL1 (+22801)
Region9408	CACUL1 (+416)
Region9409	CACUL1 (-45500)
Region9410	NANOS1 (-118028)
Region9411	NANOS1 (-26072)
Region9412	NANOS1 (-175)
Region9413	EIF3A (+20)
Region9414	EIF3A (-10088)
Region9415	EIF3A (-23640)
Region9416	SFXN4 (+25610)
Region9417	SFXN4 (+46)
Region9418	PRDX3 (+150)
Region9419	GRK5 (-223)
Region9420	GRK5 (+61658)
Region9421	GRK5 (+93788)
Region9422	GRK5 (+98818)
Region9423	RGS10 (+131528)
Region9424	RGS10 (+126202)
Region9425	RGS10 (+97045)
Region9426	RGS10 (+67900)
Region9427	RGS10 (+40225)
Region9428	RGS10 (+25702)
Region9429	RGS10 (-108)
Region9430	TIAL1 (-290)
Region9431	BAG3 (+230)
Region9432	BAG3 (+35459)
Region9433	INPP5F (-17)
Region9434	INPP5F (+31679)
Region9435	INPP5F (+32111)
Region9436	INPP5F (+42197)
Region9437	MCMBP (-120)
Region9438	SEC23IP (-76)
Region9439	SEC23IP (+92820)
Region9440	SEC23IP (+94555)
Region9441	SEC23IP (+94968)
Region9442	SEC23IP (+154367)
Region9443	SEC23IP (+253297)
Region9444	PLPP4 (-275638)
Region9445	PLPP4 (-221338)
Region9446	PLPP4 (-174836)
Region9447	PLPP4 (-154147)
Region9448	PLPP4 (-88428)
Region9449	PLPP4 (-7281)
Region9450	PLPP4 (-6669)
Region9451	PLPP4 (+44927)
Region9452	PLPP4 (+45536)
Region9453	WDR11 (-114643)
Region9454	WDR11 (-113421)
Region9455	WDR11 (+240)
Region9456	WDR11 (+64149)
Region9457	WDR11 (+70729)
Region9458	WDR11 (+98455)
Region9459	WDR11 (+112246)
Region9460	WDR11 (+118361)
Region9461	WDR11 (+135794)
Region9462	WDR11 (+217191)
Region9463	WDR11 (+351143)
Region9464	WDR11 (+364765)
Region9465	FGFR2 (+373587)
Region9466	FGFR2 (+331528)
Region9467	FGFR2 (+264855)
Region9468	FGFR2 (+113424)
Region9469	FGFR2 (+110096)
Region9470	FGFR2 (+74571)
Region9471	FGFR2 (-46124)
Region9472	FGFR2 (-69213)
Region9473	ATE1 (-66)
Region9474	ATE1 (-16766)
Region9475	NSMCE4A (+239)
Region9476	TACC2 (+51268)
Region9477	BTBD16 (-112079)
Region9478	BTBD16 (-94089)
Region9479	BTBD16 (-70712)
Region9480	BTBD16 (-11340)
Region9481	PLEKHA1 (+246)
Region9482	ARMS2 (-32133)
Region9483	ARMS2 (-21151)
Region9484	ARMS2 (-19866)
Region9485	HTRA1 (+681)
Region9486	HTRA1 (+33303)
Region9487	DMBT1 (-16174)
Region9488	DMBT1 (-9232)
Region9489	DMBT1 (+18785)
Region9490	DMBT1 (+58187)
Region9491	C10orf120 (+3256)
Region9492	C10orf120 (-1872)
Region9493	C10orf120 (-56731)
Region9494	CUZD1 (+70222)
Region9495	CUZD1 (+63274)
Region9496	CUZD1 (+43616)
Region9497	CUZD1 (+43004)
Region9498	CUZD1 (+42116)
Region9499	CUZD1 (+27667)
Region9500	FAM24B (+7150)
Region9501	FAM24B (-119)
Region9502	FAM24A (+1474)
Region9503	C10orf88 (+10886)
Region9504	C10orf88 (+7264)
Region9505	C10orf88 (+20)
Region9506	PSTK (+563)
Region9507	IKZF5 (+175)
Region9508	HMX3 (-19067)
Region9509	HMX3 (-1550)
Region9510	HMX2 (-215)
Region9511	HMX2 (+2956)
Region9512	BUB3 (+132)
Region9513	BUB3 (+27283)
Region9514	BUB3 (+48693)
Region9515	BUB3 (+87384)
Region9516	BUB3 (+100311)
Region9517	BUB3 (+100872)
Region9518	BUB3 (+114856)
Region9519	BUB3 (+124775)
Region9520	BUB3 (+129500)
Region9521	BUB3 (+141034)
Region9522	GPR26 (-191965)
Region9523	GPR26 (-147980)
Region9524	GPR26 (-93083)
Region9525	GPR26 (-31962)
Region9526	GPR26 (-10157)
Region9527	GPR26 (-6987)
Region9528	GPR26 (+33225)
Region9529	GPR26 (+82968)
Region9530	GPR26 (+89823)
Region9531	CPXM2 (+73628)
Region9532	CPXM2 (+73315)
Region9533	CPXM2 (-48059)
Region9534	CPXM2 (-95584)
Region9535	CHST15 (+99055)
Region9536	CHST15 (+38171)
Region9537	CHST15 (+13155)
Region9538	CHST15 (+292)
Region9539	CHST15 (-35509)
Region9540	CHST15 (-90037)
Region9541	CHST15 (-124111)
Region9542	CHST15 (-138164)
Region9543	CHST15 (-140233)
Region9544	CHST15 (-154368)
Region9545	OAT (+119611)
Region9546	OAT (+78258)
Region9547	OAT (+56196)
Region9548	OAT (+29715)
Region9549	OAT (+220)
Region9550	LHPP (+177)
Region9551	LHPP (+40856)
Region9552	LHPP (+48387)
Region9553	LHPP (+68294)
Region9554	LHPP (+126208)
Region9555	FAM53B (+64805)
Region9556	FAM53B (+45826)
Region9557	FAM53B (+25712)
Region9558	FAM53B (+24540)
Region9559	FAM53B (+2681)
Region9560	FAM53B (+100)
Region9561	FAM53B (-423)
Region9562	ENSG00000258539 (+9291)
Region9563	EEF1AKMT2 (-105)
Region9564	ABRAXAS2 (+77)
Region9565	ZRANB1 (-25065)
Region9566	ZRANB1 (-11668)
Region9567	ZRANB1 (+28474)
Region9568	CTBP2 (+36753)
Region9569	CTBP2 (-12112)
Region9570	CTBP2 (-75285)
Region9571	CTBP2 (-97980)
Region9572	CTBP2 (-151509)
Region9573	CTBP2 (-174719)
Region9574	CTBP2 (-182105)
Region9575	CTBP2 (-265800)
Region9576	CTBP2 (-335981)
Region9577	EDRF1 (-271271)
Region9578	EDRF1 (-258873)
Region9579	EDRF1 (-214843)
Region9580	EDRF1 (-104629)
Region9581	EDRF1 (-96718)
Region9582	EDRF1 (-89113)
Region9583	EDRF1 (-66623)
Region9584	EDRF1 (-28819)
Region9585	EDRF1 (-19694)
Region9586	EDRF1 (-7)
Region9587	MMP21 (-12969)
Region9588	UROS (+19778)
Region9589	UROS (-12)
Region9590	DHX32 (-5367)
Region9591	FANK1 (-5219)
Region9592	FANK1 (-253)
Region9593	FANK1 (+8998)
Region9594	FANK1 (+14627)
Region9595	FANK1 (+17110)
Region9596	FANK1 (+21670)
Region9597	FANK1 (+52278)
Region9598	FANK1 (+53884)
Region9599	FANK1 (+73705)
Region9600	FANK1 (+145419)
Region9601	FANK1 (+166689)
Region9602	FANK1 (+168346)
Region9603	FANK1 (+197131)
Region9604	ADAM12 (+245361)
Region9605	ADAM12 (+239371)
Region9606	ADAM12 (+190385)
Region9607	ADAM12 (+152359)
Region9608	ADAM12 (+139105)
Region9609	ADAM12 (+36845)
Region9610	ADAM12 (-15818)
Region9611	C10orf90 (-151204)
Region9612	C10orf90 (-157353)
Region9613	C10orf90 (-158379)
Region9614	DOCK1 (-146219)
Region9615	DOCK1 (-116877)
Region9616	DOCK1 (-41435)
Region9617	DOCK1 (-19215)
Region9618	DOCK1 (-10277)
Region9619	DOCK1 (+38959)
Region9620	DOCK1 (+89725)
Region9621	DOCK1 (+127425)
Region9622	DOCK1 (+148642)
Region9623	DOCK1 (+290064)
Region9624	DOCK1 (+306174)
Region9625	NPS (-310679)
Region9626	NPS (-300440)
Region9627	NPS (-284053)
Region9628	NPS (-255937)
Region9629	NPS (-154324)
Region9630	NPS (-151881)
Region9631	NPS (-87164)
Region9632	NPS (-81417)
Region9633	NPS (-59844)
Region9634	NPS (-25322)
Region9635	FOXI2 (+60394)
Region9636	CLRN3 (+58237)
Region9637	CLRN3 (+40251)
Region9638	PTPRE (+33660)
Region9639	PTPRE (+34285)
Region9640	PTPRE (+38304)
Region9641	MKI67 (+78931)
Region9642	MKI67 (+78129)
Region9643	MKI67 (+61516)
Region9644	MKI67 (+49244)
Region9645	MKI67 (+22848)
Region9646	MKI67 (-156)
Region9647	MKI67 (-23935)
Region9648	MKI67 (-84501)
Region9649	MKI67 (-116255)
Region9650	MKI67 (-143520)
Region9651	MKI67 (-158773)
Region9652	MKI67 (-311754)
Region9653	MKI67 (-338105)
Region9654	MKI67 (-355809)
Region9655	MKI67 (-361260)
Region9656	MKI67 (-377940)
Region9657	MKI67 (-420381)
Region9658	MKI67 (-497059)
Region9659	MKI67 (-624849)
Region9660	MGMT (-546001)
Region9661	MGMT (-494870)
Region9662	MGMT (-455855)
Region9663	MGMT (-396842)
Region9664	MGMT (-344653)
Region9665	MGMT (-314608)
Region9666	MGMT (-226692)
Region9667	MGMT (-126558)
Region9668	MGMT (-90285)
Region9669	MGMT (-266)
Region9670	MGMT (+224267)
Region9671	EBF3 (+229811)
Region9672	EBF3 (+227891)
Region9673	EBF3 (+146920)
Region9674	EBF3 (+135212)
Region9675	EBF3 (-11581)
Region9676	EBF3 (-38405)
Region9677	EBF3 (-47415)
Region9678	EBF3 (-59826)
Region9679	GLRX3 (-73127)
Region9680	GLRX3 (-25547)
Region9681	GLRX3 (-564)
Region9682	GLRX3 (+191)
Region9683	GLRX3 (+26010)
Region9684	GLRX3 (+53976)
Region9685	GLRX3 (+164570)
Region9686	GLRX3 (+165256)
Region9687	GLRX3 (+180144)
Region9688	GLRX3 (+491753)
Region9689	GLRX3 (+515352)
Region9690	GLRX3 (+633681)
Region9691	GLRX3 (+654230)
Region9692	GLRX3 (+673203)
Region9693	GLRX3 (+688273)
Region9694	GLRX3 (+793432)
Region9695	PPP2R2D (-867171)
Region9696	PPP2R2D (-858057)
Region9697	PPP2R2D (-848461)
Region9698	PPP2R2D (-838955)
Region9699	PPP2R2D (-837925)
Region9700	PPP2R2D (-832912)
Region9701	PPP2R2D (-774517)
Region9702	PPP2R2D (-769582)
Region9703	PPP2R2D (-758222)
Region9704	PPP2R2D (-723875)
Region9705	PPP2R2D (-713367)
Region9706	PPP2R2D (-683549)
Region9707	PPP2R2D (-654125)
Region9708	PPP2R2D (-572373)
Region9709	PPP2R2D (-523545)
Region9710	PPP2R2D (-511545)
Region9711	PPP2R2D (-455590)
Region9712	PPP2R2D (-358475)
Region9713	PPP2R2D (-330448)
Region9714	PPP2R2D (-320120)
Region9715	PPP2R2D (-315678)
Region9716	PPP2R2D (-269571)
Region9717	PPP2R2D (-246303)
Region9718	PPP2R2D (-239370)
Region9719	PPP2R2D (-195097)
Region9720	PPP2R2D (-116166)
Region9721	PPP2R2D (-15334)
Region9722	PPP2R2D (+42)
Region9723	PPP2R2D (+17369)
Region9724	PPP2R2D (+27365)
Region9725	PPP2R2D (+28026)
Region9726	PPP2R2D (+37686)
Region9727	BNIP3 (+8994)
Region9728	BNIP3 (+76)
Region9729	BNIP3 (-40666)
Region9730	BNIP3 (-41182)
Region9731	JAKMIP3 (-47485)
Region9732	JAKMIP3 (-38923)
Region9733	JAKMIP3 (-16672)
Region9734	JAKMIP3 (-4674)
Region9735	JAKMIP3 (+17878)
Region9736	DPYSL4 (-28110)
Region9737	DPYSL4 (-985)
Region9738	DPYSL4 (+121)
Region9739	STK32C (+11041)
Region9740	STK32C (+9628)
Region9741	STK32C (-275)
Region9742	LRRC27 (-148)
Region9743	LRRC27 (+32396)
Region9744	PWWP2B (-672)
Region9745	PWWP2B (+50539)
Region9746	PWWP2B (+55980)
Region9747	INPP5A (-49622)
Region9748	INPP5A (-29581)
Region9749	INPP5A (-281)
Region9750	INPP5A (+34169)
Region9751	INPP5A (+78513)
Region9752	NKX6-2 (+116267)
Region9753	NKX6-2 (+104929)
Region9754	NKX6-2 (+101534)
Region9755	NKX6-2 (+74666)
Region9756	CFAP46 (-19647)
Region9757	ADGRA1 (+7396)
Region9758	ADGRA1 (+23898)
Region9759	UTF1 (-16274)
Region9760	ADAM8 (+15048)
Region9761	ADAM8 (+1794)
Region9762	ZNF511 (-414)
Region9763	TUBGCP2 (+180)
Region9764	ENSG00000283496 (+9410)
Region9765	CALY (+6974)
Region9766	CALY (+1628)
Region9767	CALY (-15)
Region9768	FUOM (-168)
Region9769	ECHS1 (+237)
Region9770	PAOX (-551)
Region9771	ENSG00000254536 (-1187)
Region9772	MTG1 (+72)
Region9773	SPRN (-7985)
Region9774	SCART1 (+22151)
Region9775	CYP2E1 (-16207)
Region9776	CYP2E1 (-14436)
Region9777	CYP2E1 (-1779)
Region9778	CYP2E1 (-201)
Region9779	CYP2E1 (+7658)
Region9780	SYCE1 (-24998)
Region9781	FRG2B (+3755)
Region9782	FRG2B (+1286)
Region9783	ODF3 (-462)
