"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"8511","chr16",30534755,30535155,401,"*",5.57826498761052,5.37326501115098,5.79930883593457,-0.212204408455536,0.303486100236519,0.999820495462944,34.73,47.5,28.67,52.3,44.05,62.16,34.7,80.93,44.96,"ZNF747","Not Significant",0.517861194963736,0.517861194963736,"Not Capped"
"8518","chr3",71087376,71087776,401,"*",4.44953902394947,4.19370239366371,4.71632358584097,-0.307512322121141,0.303682902195623,0.999820495462944,15.33,20.97,12.66,23.09,19.45,29.34,16.38,38.2,21.22,"FOXP1","Not Significant",0.517579658826294,0.517579658826294,"Not Capped"
"8540","chr6",98834348,98834748,401,"*",4.80630422819288,4.57218804333596,5.05391934533083,-0.267210418235293,0.30430902676149,0.999820495462944,19.93,27.26,16.46,30.01,25.28,37.08,20.7,48.28,26.82,"POU3F2","Not Significant",0.516685164912421,0.516685164912421,"Not Capped"
"8542","chr15",74598251,74598651,401,"*",5.31742978630669,5.32514098790988,5.30773245988777,0.229956294813782,0.304328073532414,0.999820495462944,33.59,45.94,27.73,50.58,42.6,44.21,24.68,57.56,31.97,"ARID3B","Not Significant",0.516657983173059,0.516657983173059,"Not Capped"
"8544","chr6",15422037,15422437,401,"*",3.15041434034407,2.73948770057514,3.53978824672079,-0.57883486259793,0.304394309853654,0.999820495462944,5.6,7.65,4.62,8.43,7.1,12.98,7.25,16.9,9.39,"JARID2","Not Significant",0.516563470240022,0.516563470240022,"Not Capped"
"8545","chr19",13099473,13099873,401,"*",5.33687402156616,5.34218680036259,5.33020541672063,0.224552633928719,0.304405637248496,0.999820495462944,33.99,46.49,28.06,51.18,43.11,44.91,25.07,58.47,32.48,"LYL1","Not Significant",0.516547309183838,0.516547309183838,"Not Capped"
"8560","chr3",142121745,142122145,401,"*",2.59377047636626,2.0610943729688,3.06460498385137,-0.775095429625379,0.304660522593755,0.999820495462944,3.5,4.78,2.89,5.27,4.43,9.34,5.21,12.16,6.75,"TFDP2","Not Significant",0.516183817291743,0.516183817291743,"Not Capped"
"8564","chr7",4725030,4725430,401,"*",4.56163968333186,4.31469487448805,4.82064234071113,-0.290964045731171,0.304843312406111,0.999820495462944,16.67,22.81,13.77,25.11,21.15,31.54,17.61,41.07,22.81,"FOXK1","Not Significant",0.515923328006276,0.515923328006276,"Not Capped"
"8572","chr17",48727827,48728227,401,"*",3.84419687128681,3.92727242025471,3.73313723121178,0.403801035138118,0.30512958560167,0.999820495462944,12.75,17.44,10.52,19.2,16.17,14.84,8.29,19.33,10.73,"HOXB13","Not Significant",0.515515680785613,0.515515680785613,"Not Capped"
"8577","chr1",47617276,47617676,401,"*",3.07027514003991,2.64227232353525,3.47178268136165,-0.607757844787215,0.305382433289441,0.999820495462944,5.23,7.15,4.32,7.88,6.63,12.38,6.91,16.12,8.96,"FOXD2","Not Significant",0.515155948762519,0.515155948762519,"Not Capped"
"8581","chr17",82593093,82593493,401,"*",4.64056260115236,4.3963904471468,4.89712021940063,-0.28592705285684,0.305542990317389,0.999820495462944,17.64,24.14,14.57,26.57,22.38,33.26,18.57,43.3,24.05,"FOXK2","Not Significant",0.514927675293518,0.514927675293518,"Not Capped"
"8610","chr3",71064734,71065134,401,"*",5.526767491279,5.52709956284433,5.52635229430759,0.213494738306688,0.306607296783938,0.999820495462944,38.63,52.85,31.9,58.18,49,51.45,28.72,66.98,37.21,"FOXP1","Not Significant",0.513417513815331,0.513417513815331,"Not Capped"
"8619","chr8",80485351,80485751,401,"*",6.25356318701578,6.24354369189088,6.26599048757389,0.190523868876165,0.30689398766246,0.999820495462944,63.48,86.84,52.41,95.6,80.52,85.9,47.96,111.84,62.12,"ZBTB10","Not Significant",0.513011619716089,0.513011619716089,"Not Capped"
"8625","chrX",57592366,57592766,401,"*",4.05596756764747,3.77080098588168,4.34779675486058,-0.360906750037404,0.307039000515682,0.999820495462944,11.44,15.64,9.44,17.22,14.51,22.73,12.69,29.59,16.44,"ZXDB","Not Significant",0.512806456337208,0.512806456337208,"Not Capped"
"8643","chr6",14784879,14785279,401,"*",3.93525656183204,3.63827996520274,4.23690801782381,-0.382475041866061,0.307955370500368,0.999820495462944,10.43,14.27,8.61,15.71,13.23,21.05,11.75,27.4,15.22,"JARID2","Not Significant",0.511512217752207,0.511512217752207,"Not Capped"
"8665","chr19",8654653,8655053,401,"*",4.25897019840186,4.31052774642831,4.19181902312441,0.32955932896774,0.308768945531391,0.999820495462944,16.62,22.74,13.73,25.04,21.09,20.4,11.39,26.56,14.75,"NFILZ","Not Significant",0.510366385352332,0.510366385352332,"Not Capped"
"8684","chr14",99259321,99259721,401,"*",5.2878604514608,5.29387556353625,5.28030612133535,0.226090929444161,0.309277738386798,0.999820495462944,32.87,44.96,27.14,49.5,41.69,43.38,24.22,56.48,31.37,"BCL11B","Not Significant",0.50965133911003,0.50965133911003,"Not Capped"
"8712","chr19",57240399,57240799,401,"*",6.17645294277581,6.16673184253037,6.18851292346547,0.191193083081184,0.31006739858942,0.999820495462944,60.19,82.33,49.69,90.64,76.34,81.41,45.45,105.99,58.88,"ZNF805","Not Significant",0.508543894378702,0.508543894378702,"Not Capped"
"8715","chr10",68231277,68231677,401,"*",4.28438358430637,4.01836347185083,4.55997101365127,-0.326021016253911,0.310130846366769,0.999820495462944,13.58,18.57,11.21,20.45,17.22,26.33,14.7,34.28,19.04,"ATOH7","Not Significant",0.508455035630997,0.508455035630997,"Not Capped"
"8726","chr14",89416002,89416402,401,"*",5.22121149121007,5.22868554366827,5.21181414404402,0.229467427657883,0.310609263064797,0.999820495462944,31.42,42.97,25.94,47.31,39.85,41.37,23.1,53.86,29.92,"FOXN3","Not Significant",0.507785596778933,0.507785596778933,"Not Capped"
"8742","chr16",68520592,68520992,401,"*",5.3941026843028,5.39729451794032,5.39010293611139,0.21981435915205,0.311095166236789,0.999820495462944,35.31,48.3,29.15,53.18,44.79,46.81,26.13,60.95,33.85,"ZFP90","Not Significant",0.507106736859791,0.507106736859791,"Not Capped"
"8762","chr7",28082653,28083053,401,"*",3.63539807250115,3.30073874736944,3.96743087449926,-0.449417850760714,0.311698365074584,0.999820495462944,8.26,11.29,6.82,12.43,10.47,17.46,9.75,22.73,12.63,"JAZF1","Not Significant",0.50626547568578,0.50626547568578,"Not Capped"
"8772","chr1",32500418,32500818,401,"*",4.00679923914874,3.71781641099091,4.30181848649622,-0.367908589919995,0.3119502274999,0.999820495462944,11.02,15.08,9.1,16.6,13.98,22.02,12.29,28.66,15.92,"ZBTB8B","Not Significant",0.505914693310056,0.505914693310056,"Not Capped"
"8774","chr1",200409928,200410328,401,"*",5.95078587342084,5.94271985646311,5.96080538825941,0.194812848870888,0.311955507892499,0.999820495462944,51.53,70.49,42.55,77.61,65.36,69.53,38.81,90.52,50.28,"ZNF281","Not Significant",0.505907342054128,0.505907342054128,"Not Capped"
"8778","chr22",20393887,20394287,401,"*",6.07298042713103,6.06406834449384,6.08404366522202,0.192938939945917,0.312076900733551,0.999820495462944,56.06,76.68,46.28,84.42,71.1,75.73,42.28,98.59,54.76,"ZNF74","Not Significant",0.505738375696138,0.505738375696138,"Not Capped"
"8813","chr19",52139837,52140237,401,"*",5.85448856394595,5.84704800639742,5.86373562009751,0.196183958107004,0.313440900726567,0.999820495462944,48.23,65.97,39.82,72.63,61.17,65,36.29,84.63,47.01,"ZNF616","Not Significant",0.503844333327339,0.503844333327339,"Not Capped"
"8823","chr17",42566827,42567227,401,"*",6.02189027901202,6.01248203522976,6.03356495574498,0.191847496362642,0.313810098165517,0.999820495462944,54.09,73.98,44.66,81.45,68.6,73.12,40.82,95.2,52.88,"MLX","Not Significant",0.503333085264702,0.503333085264702,"Not Capped"
"8840","chr6",31902105,31902505,401,"*",5.86529799786875,5.668876555764,6.07831452487946,-0.19571472239536,0.314185434971326,0.999820495462944,42.62,58.3,35.19,64.19,54.06,75.43,42.11,98.2,54.55,"ZBTB12","Not Significant",0.50281395188102,0.50281395188102,"Not Capped"
"8847","chr2",9951351,9951751,401,"*",6.51434935941941,6.32285345468073,6.72271482618005,-0.186297465197444,0.31442140313675,0.999820495462944,67.07,91.74,55.37,101,85.07,117.9,65.82,153.5,85.26,"GRHL1","Not Significant",0.502487898549273,0.502487898549273,"Not Capped"
"8851","chr4",87103748,87104148,401,"*",3.7544747534669,3.84022235351437,3.63958533326033,0.410078913768279,0.314484716116301,0.999820495462944,12,16.41,9.91,18.07,15.22,13.91,7.77,18.11,10.06,"AFF1","Not Significant",0.502400456316154,0.502400456316154,"Not Capped"
"8892","chr6",142845654,142846054,401,"*",4.59085531566219,4.62131375296013,4.55185509700441,0.281312278004886,0.316027425042722,0.999820495462944,20.62,28.21,17.03,31.05,26.15,26.18,14.62,34.09,18.93,"HIVEP2","Not Significant",0.500275227419878,0.500275227419878,"Not Capped"
"8914","chr1",13700037,13700437,401,"*",5.15632292314317,4.94084120781735,5.38705080460405,-0.232039221515881,0.316773031363859,0.999820495462944,25.73,35.2,21.25,38.75,32.64,46.71,26.08,60.82,33.78,"PRDM2","Not Significant",0.499251799394457,0.499251799394457,"Not Capped"
"8921","chr20",53660439,53660839,401,"*",3.5370560951567,3.64674188410387,3.38706893686452,0.467949960560171,0.317061782786206,0.999820495462944,10.49,14.35,8.66,15.8,13.31,11.68,6.52,15.2,8.45,"ZNF217","Not Significant",0.49885610273898,0.49885610273898,"Not Capped"
"8970","chr9",114371956,114372356,401,"*",4.51051179464107,4.54476506993875,4.46651888189862,0.289941246181967,0.31854179391026,0.999820495462944,19.56,26.75,16.15,29.45,24.8,24.68,13.78,32.13,17.85,"AKNA","Not Significant",0.496833578481474,0.496833578481474,"Not Capped"
"8971","chr8",22705339,22705739,401,"*",4.17290430690008,4.22660927496101,4.10283352372528,0.334615949770815,0.318550455608606,0.999820495462944,15.69,21.46,12.95,23.62,19.89,19.18,10.71,24.97,13.87,"EGR3","Not Significant",0.496821769429336,0.496821769429336,"Not Capped"
"9019","chr4",108166603,108167003,401,"*",5.10142611612819,5.1110790197503,5.0892684468153,0.234318738362714,0.319998768491554,0.999820495462944,28.96,39.61,23.91,43.61,36.73,38,21.21,49.47,27.48,"LEF1","Not Significant",0.494851693049943,0.494851693049943,"Not Capped"
"9022","chr5",177312146,177312546,401,"*",6.11672574875016,6.10529469864161,6.13088835900946,0.187344648078037,0.320071771424016,0.999820495462944,57.68,78.9,47.62,86.86,73.16,78.22,43.67,101.84,56.57,"MXD3","Not Significant",0.49475262655995,0.49475262655995,"Not Capped"
"9027","chr18",76398887,76399287,401,"*",4.42893424193612,4.17828568292866,4.6911892649285,-0.298016538736483,0.320246621092044,0.999820495462944,15.17,20.75,12.52,22.84,19.24,28.84,16.1,37.54,20.85,"ZNF516","Not Significant",0.494515443781001,0.494515443781001,"Not Capped"
"9047","chr2",118881660,118882060,401,"*",4.22307178600662,4.27391883797557,4.15688433894048,0.327819709535611,0.321083235636005,0.999820495462944,16.21,22.17,13.38,24.41,20.56,19.91,11.12,25.92,14.4,"EN1","Not Significant",0.493382369179188,0.493382369179188,"Not Capped"
"9048","chr21",41879083,41879483,401,"*",5.32871361359099,5.12068552177672,5.55256904878114,-0.217910628485935,0.321093348663725,0.999820495462944,29.15,39.87,24.07,43.9,36.97,52.39,29.25,68.21,37.89,"PRDM15","Not Significant",0.49336869059843,0.49336869059843,"Not Capped"
"9058","chr11",47377603,47378003,401,"*",3.83782830292352,3.53499111702841,4.14429966770329,-0.392192465824478,0.321285024846286,0.999820495462944,9.71,13.28,8.02,14.63,12.32,19.74,11.02,25.7,14.27,"SPI1","Not Significant",0.493109516521899,0.493109516521899,"Not Capped"
"9080","chr1",42335063,42335463,401,"*",6.38920899149836,6.19818869090015,6.59712371960696,-0.185358767243472,0.322023203067719,0.999820495462944,61.52,84.15,50.79,92.64,78.03,108.07,60.33,140.7,78.15,"FOXJ3","Not Significant",0.492112834511555,0.492112834511555,"Not Capped"
"9103","chr8",105387284,105387684,401,"*",3.89831718292775,3.60447830594431,4.19737337172311,-0.376282408527675,0.322825446475696,0.999820495462944,10.19,13.94,8.41,15.35,12.93,20.48,11.43,26.66,14.81,"ZFPM2","Not Significant",0.491032239661202,0.491032239661202,"Not Capped"
"9111","chr10",113126559,113126959,401,"*",4.07989314623719,4.14237489501879,3.99778203914616,0.35502227445976,0.323142476500063,0.999820495462944,14.8,20.24,12.22,22.28,18.77,17.83,9.96,23.22,12.9,"TCF7L2","Not Significant",0.490605950997825,0.490605950997825,"Not Capped"
"9130","chr2",42568453,42568853,401,"*",4.88075352590302,4.6570047544863,5.11902466315279,-0.247577786757637,0.323827963008714,0.999820495462944,21.14,28.91,17.45,31.83,26.81,38.79,21.66,50.51,28.05,"MTA3","Not Significant",0.489685652012438,0.489685652012438,"Not Capped"
"9137","chr12",19592668,19593068,401,"*",3.0937782148773,2.68822846635269,3.47928026708694,-0.569660999526025,0.323988986716764,0.999820495462944,5.4,7.39,4.46,8.13,6.85,12.45,6.95,16.21,9,"AEBP2","Not Significant",0.489469752415086,0.489469752415086,"Not Capped"
"9150","chrX",130109660,130110060,401,"*",3.80099386221625,3.87891424568254,3.69727449412567,0.391153160904937,0.324260936692391,0.999820495462944,12.33,16.86,10.18,18.56,15.63,14.48,8.08,18.85,10.47,"ELF4","Not Significant",0.489105367086427,0.489105367086427,"Not Capped"
"9162","chr11",128630346,128630746,401,"*",4.22276494352058,4.27093247317338,4.16020200712637,0.321705701367182,0.32474763493321,0.999820495462944,16.17,22.12,13.35,24.36,20.52,19.96,11.14,25.98,14.43,"ETS1","Not Significant",0.488454003116201,0.488454003116201,"Not Capped"
"9163","chr6",27472773,27473173,401,"*",5.77636584378226,5.58076682549139,5.98860792159546,-0.194068224949082,0.324794931250809,0.999820495462944,40.1,54.85,33.11,60.39,50.86,70.88,39.57,92.28,51.26,"ZNF184","Not Significant",0.488390756976986,0.488390756976986,"Not Capped"
"9190","chr15",56246042,56246442,401,"*",5.10278620063085,5.11092351650387,5.09254958480817,0.230876319815205,0.325642432519125,0.999820495462944,28.95,39.6,23.9,43.6,36.72,38.09,21.26,49.59,27.54,"RFX7","Not Significant",0.48725900977724,0.48725900977724,"Not Capped"
"9198","chr17",43694417,43694817,401,"*",4.56350232922994,4.32223297427358,4.81749064075192,-0.280598292289709,0.325944624095258,0.999820495462944,16.76,22.93,13.84,25.24,21.26,31.48,17.57,40.98,22.76,"MEOX1","Not Significant",0.486856177516931,0.486856177516931,"Not Capped"
"9212","chr16",68528618,68529018,401,"*",5.18407770941464,4.97192731318634,5.41174245507754,-0.2257989224816,0.326254489680239,0.999820495462944,26.29,35.97,21.71,39.6,33.35,47.52,26.53,61.87,34.36,"ZFP90","Not Significant",0.486443503163434,0.486443503163434,"Not Capped"
"9213","chr19",58440095,58440495,401,"*",6.5985861189552,6.58603446829172,6.61412365977894,0.184956715882682,0.326274528511741,0.999820495462944,80.49,110.1,66.46,121.22,102.09,109.35,61.05,142.37,79.08,"ZNF132","Not Significant",0.486416829241799,0.486416829241799,"Not Capped"
"9235","chr3",157841418,157841818,401,"*",2.98753485936818,2.56657555916853,3.38406730732865,-0.595031175116382,0.326664514071178,0.999820495462944,4.96,6.79,4.1,7.47,6.3,11.65,6.51,15.17,8.43,"SHOX2","Not Significant",0.485898040853972,0.485898040853972,"Not Capped"
"9236","chr19",53103292,53103692,401,"*",6.51253247766301,6.4993909917944,6.52879276740306,0.183634814626271,0.326715956688563,0.999820495462944,75.8,103.68,62.58,114.15,96.14,103.07,57.54,134.19,74.54,"ZNF160","Not Significant",0.485829654221952,0.485829654221952,"Not Capped"
"9242","chr21",29348259,29348659,401,"*",3.61314632273467,3.70753258937331,3.48575616679049,0.430626772048987,0.326940972446509,0.999820495462944,10.95,14.97,9.04,16.48,13.88,12.5,6.98,16.28,9.04,"BACH1","Not Significant",0.485530649953745,0.485530649953745,"Not Capped"
"9247","chr14",24160984,24161384,401,"*",6.1726277227005,6.15966152317146,6.1886732956684,0.183944612155105,0.327030522549237,0.999820495462944,59.9,81.93,49.45,90.2,75.97,81.42,45.46,106.01,58.88,"IRF9","Not Significant",0.485411711694175,0.485411711694175,"Not Capped"
"9251","chr3",42905989,42906389,401,"*",4.6575794716539,4.68327867189153,4.62479801586442,0.270355781398606,0.327151455464881,0.999820495462944,21.53,29.44,17.77,32.42,27.3,27.54,15.38,35.86,19.92,"ZNF662","Not Significant",0.485251143227577,0.485251143227577,"Not Capped"
"9254","chr17",2054793,2055193,401,"*",6.04358396629921,5.85220303351465,6.25184049858092,-0.185972287898526,0.327196979360052,0.999820495462944,48.4,66.21,39.96,72.89,61.39,85.07,47.49,110.75,61.52,"HIC1","Not Significant",0.485190714332367,0.485190714332367,"Not Capped"
"9266","chr2",11465785,11466185,401,"*",5.03500761579075,4.81805809896045,5.26708083538329,-0.234878608052801,0.327594678699935,0.999820495462944,23.63,32.33,19.51,35.59,29.98,42.98,24,55.96,31.09,"E2F6","Not Significant",0.484663161337822,0.484663161337822,"Not Capped"
"9270","chr1",165392977,165393377,401,"*",5.28060748065843,5.07265627780758,5.5043916655941,-0.217786219357795,0.327720459166912,0.999820495462944,28.2,38.57,23.28,42.46,35.76,50.67,28.29,65.97,36.64,"RXRG","Not Significant",0.484496445325163,0.484496445325163,"Not Capped"
"9271","chr1",40531401,40531801,401,"*",5.1893492156961,4.97728709776697,5.41693260491601,-0.225633580663321,0.327731665150398,0.999820495462944,26.39,36.1,21.79,39.74,33.47,47.69,26.62,62.09,34.49,"ZNF684","Not Significant",0.484481595432663,0.484481595432663,"Not Capped"
"9277","chr19",24087519,24087919,401,"*",3.42108478030801,3.07228730908203,3.76415378610226,-0.473054712785413,0.327852240033424,0.999820495462944,7.05,9.64,5.82,10.61,8.94,15.17,8.47,19.75,10.97,"ZNF254","Not Significant",0.484321844692809,0.484321844692809,"Not Capped"
"9299","chr14",68711992,68712392,401,"*",3.19866894216949,3.33577339173776,3.00665075784905,0.534279644823952,0.328701245487618,0.999820495462944,8.46,11.57,6.98,12.74,10.73,8.97,5.01,11.68,6.49,"ZFP36L1","Not Significant",0.483198650322468,0.483198650322468,"Not Capped"
"9303","chr14",89250264,89250664,401,"*",2.34840497832095,2.5853576275327,1.98415768077983,0.795149228270866,0.328857610310799,0.999820495462944,5.03,6.88,4.15,7.57,6.38,4.42,2.47,5.75,3.19,"FOXN3","Not Significant",0.482992103393467,0.482992103393467,"Not Capped"
"9306","chr17",16667035,16667435,401,"*",3.89115505681392,3.59492112997792,4.19219316774082,-0.380319624298983,0.328988883384719,0.999820495462944,10.12,13.85,8.36,15.25,12.84,20.41,11.39,26.57,14.76,"ZNF624","Not Significant",0.48281877671945,0.48281877671945,"Not Capped"
"9330","chr12",53213264,53213664,401,"*",4.93131246141241,4.71125988116703,5.16622123234443,-0.240671661840377,0.329866208861075,0.999820495462944,21.95,30.02,18.12,33.05,27.84,40.08,22.38,52.18,28.99,"RARG","Not Significant",0.481662170834795,0.481662170834795,"Not Capped"
"9362","chr19",52297030,52297430,401,"*",4.9211574653423,4.9341121576671,4.90479878179935,0.241605764359642,0.331171837157612,0.999820495462944,25.61,35.04,21.15,38.57,32.49,33.44,18.67,43.54,24.18,"ZNF480","Not Significant",0.479946602705665,0.479946602705665,"Not Capped"
"9380","chr3",150408320,150408720,401,"*",6.50787880995925,6.49438189995095,6.52457429792535,0.182877415105547,0.331694321038239,0.999820495462944,75.54,103.33,62.37,113.75,95.81,102.77,57.37,133.8,74.32,"TSC22D2","Not Significant",0.479261964003185,0.479261964003185,"Not Capped"
"9386","chr7",152336857,152337257,401,"*",3.91141232848314,3.97892616539612,3.82231900719991,0.366681782329382,0.331832473551387,0.999820495462944,13.21,18.07,10.91,19.89,16.76,15.79,8.82,20.56,11.42,"KMT2C","Not Significant",0.479081115617024,0.479081115617024,"Not Capped"
"9393","chr1",145858823,145859223,401,"*",5.80872888420915,5.61537313245419,6.01885418679723,-0.189738281228077,0.332033243457221,0.999820495462944,41.07,56.18,33.91,61.85,52.09,72.38,40.41,94.23,52.34,"PIAS3","Not Significant",0.478818432177707,0.478818432177707,"Not Capped"
"9395","chr11",125165107,125165507,401,"*",4.36767067890098,4.11570447649461,4.63107898686376,-0.300367610839424,0.332097888395111,0.999820495462944,14.52,19.87,11.99,21.87,18.42,27.66,15.44,36.01,20,"PKNOX2","Not Significant",0.478733885802599,0.478733885802599,"Not Capped"
"9404","chr1",164398592,164398992,401,"*",2.73528526807956,2.92338410141982,2.45936485121378,0.664927542577384,0.332367937310607,0.999820495462944,6.36,8.69,5.25,9.57,8.06,6.14,3.43,7.99,4.44,"PBX1","Not Significant",0.478380878151147,0.478380878151147,"Not Capped"
"9414","chr16",30407195,30407595,401,"*",5.49792818313316,5.29777795304521,5.71444526174233,-0.202775781332291,0.33270666778763,0.999820495462944,32.96,45.08,27.21,49.63,41.8,58.61,32.72,76.31,42.39,"ZNF771","Not Significant",0.477938495330886,0.477938495330886,"Not Capped"
"9427","chr6",106103340,106103740,401,"*",3.37717537845103,3.02081457640904,3.72606991534128,-0.485729938945853,0.333298600516736,0.999820495462944,6.8,9.3,5.61,10.24,8.62,14.77,8.25,19.23,10.68,"PRDM1","Not Significant",0.477166509889231,0.477166509889231,"Not Capped"
"9428","chrX",24150273,24150673,401,"*",5.99531251025393,5.80270704681653,6.2047284017013,-0.188308944901317,0.333310464001594,0.999820495462944,46.77,63.97,38.61,70.43,59.32,82.33,45.96,107.19,59.54,"ZFX","Not Significant",0.477151051815571,0.477151051815571,"Not Capped"
"9445","chr19",11924871,11925271,401,"*",5.76181299215561,5.75215859886336,5.7737908343462,0.191230130694652,0.333872651861248,0.999820495462944,45.16,61.77,37.28,68,57.28,61.07,34.1,79.51,44.17,"ZNF763","Not Significant",0.476419153369039,0.476419153369039,"Not Capped"
"9455","chr22",35257409,35257809,401,"*",6.12030850527473,6.10671743466117,6.13711924801307,0.182542740829958,0.334063241995754,0.999820495462944,57.74,78.98,47.67,86.95,73.23,78.56,43.86,102.29,56.82,"HMGXB4","Not Significant",0.476171308488329,0.476171308488329,"Not Capped"
"9464","chr10",27742132,27742532,401,"*",4.92455576747825,4.93741735139485,4.90831584968924,0.2412672711664,0.334247516774993,0.999820495462944,25.67,35.12,21.2,38.66,32.56,33.52,18.71,43.64,24.24,"MKX","Not Significant",0.475931810557897,0.475931810557897,"Not Capped"
"9478","chr18",3448621,3449021,401,"*",5.62827885263282,5.4315580425451,5.84157707182692,-0.196262111420437,0.33491246189943,0.999820495462944,36.16,49.46,29.85,54.45,45.86,64.01,35.74,83.34,46.29,"TGIF1","Not Significant",0.475068692312435,0.475068692312435,"Not Capped"
"9485","chr8",144786815,144787215,401,"*",5.60327877048273,5.40587787422628,5.81721649963324,-0.197474701291411,0.335132443727476,0.999820495462944,35.52,48.59,29.33,53.49,45.05,62.94,35.14,81.94,45.52,"ZNF34","Not Significant",0.474783526656612,0.474783526656612,"Not Capped"
"9524","chr14",105448595,105448995,401,"*",4.81936156957147,4.59575606431662,5.05750268599488,-0.247301157583926,0.336579287454562,0.999820495462944,20.26,27.71,16.73,30.51,25.7,37.17,20.75,48.4,26.88,"MTA1","Not Significant",0.472912613318495,0.472912613318495,"Not Capped"
"9533","chr9",132507700,132508100,401,"*",3.81817528513499,3.51847377464523,4.12207222371798,-0.386894303689016,0.336830286921017,0.999820495462944,9.6,13.13,7.93,14.46,12.18,19.44,10.85,25.31,14.06,"BARHL1","Not Significant",0.472588864763565,0.472588864763565,"Not Capped"
"9542","chr7",4607302,4607702,401,"*",3.6148856394042,3.71388688929044,3.48074161701499,0.441451059481689,0.337016233297496,0.999820495462944,10.99,15.04,9.08,16.56,13.94,12.46,6.96,16.22,9.01,"FOXK1","Not Significant",0.47234917965765,0.47234917965765,"Not Capped"
"9551","chr11",114172959,114173359,401,"*",4.37179720533967,4.40835269417781,4.32476050259786,0.2951040598104,0.337287665740037,0.999820495462944,17.79,24.34,14.69,26.79,22.57,22.37,12.49,29.12,16.18,"ZBTB16","Not Significant",0.471999540218991,0.471999540218991,"Not Capped"
"9553","chr18",35267308,35267708,401,"*",4.52316805440405,4.55211220441124,4.4861516495066,0.277822260590104,0.3373120493079,0.999820495462944,19.66,26.89,16.23,29.6,24.93,25.02,13.97,32.57,18.09,"ZSCAN30","Not Significant",0.471968144863375,0.471968144863375,"Not Capped"
"9556","chr6",130020320,130020720,401,"*",4.88309464275142,4.89608710005827,4.86668778257636,0.241706994822904,0.337362304727898,0.999820495462944,24.95,34.12,20.6,37.57,31.64,32.57,18.18,42.4,23.55,"L3MBTL3","Not Significant",0.471903445052272,0.471903445052272,"Not Capped"
"9557","chr6",125748134,125748534,401,"*",4.50772360025727,4.26578141254772,4.76230831322344,-0.281558407576993,0.337424167521292,0.999820495462944,16.12,22.05,13.31,24.27,20.44,30.29,16.91,39.44,21.91,"HEY2","Not Significant",0.471823814914483,0.471823814914483,"Not Capped"
"9567","chr1",15975910,15976310,401,"*",6.04946193275788,5.85938483786685,6.25648191095593,-0.183488678639266,0.337686257587533,0.999820495462944,48.64,66.54,40.16,73.25,61.69,85.34,47.64,111.11,61.72,"ZBTB17","Not Significant",0.471486612966431,0.471486612966431,"Not Capped"
"9574","chr12",56630132,56630532,401,"*",5.72146326208326,5.71231477840536,5.73281788490267,0.192333184124373,0.337914675285668,0.999820495462944,43.93,60.09,36.27,66.15,55.72,59.36,33.14,77.29,42.93,"BAZ2A","Not Significant",0.471192946854317,0.471192946854317,"Not Capped"
"9587","chr9",91423584,91423984,401,"*",5.17895969925235,4.96827215662017,5.40527505763011,-0.222961499922039,0.338438683809857,0.999820495462944,26.23,35.88,21.65,39.5,33.27,47.31,26.41,61.59,34.21,"NFIL3","Not Significant",0.470520002592272,0.470520002592272,"Not Capped"
"9600","chr1",214064318,214064718,401,"*",3.19180386036055,2.79668010319259,3.56972698932579,-0.552214503857813,0.338987167015966,0.999820495462944,5.82,7.96,4.81,8.77,7.38,13.25,7.4,17.26,9.59,"PROX1","Not Significant",0.469816742503834,0.469816742503834,"Not Capped"
"9613","chr7",21193762,21194162,401,"*",3.19532364458754,3.33349972009081,3.00162106574077,0.537669253825993,0.339486516079639,0.999820495462944,8.45,11.55,6.97,12.72,10.71,8.94,4.99,11.64,6.47,"SP4","Not Significant",0.469177470598506,0.469177470598506,"Not Capped"
"9662","chr7",101856886,101857575,690,"*",5.46226385609697,5.26312291517938,5.67783515381175,-0.200822254959279,0.341335753497271,0.999820495462944,32.17,44.01,26.56,48.45,40.81,57.14,31.9,74.4,41.33,"CUX1","Not Significant",0.466818218802164,0.466818218802164,"Not Capped"
"9682","chr13",40665185,40665585,401,"*",4.90332146563614,4.68213954748451,5.13925932342487,-0.242589204183173,0.342086879697596,0.999820495462944,21.51,29.42,17.76,32.39,27.28,39.34,21.96,51.22,28.45,"FOXO1","Not Significant",0.465863582301943,0.465863582301943,"Not Capped"
"9687","chr11",114060430,114060830,401,"*",4.95283325898238,4.96292673265522,4.94011629444065,0.235262467877628,0.342255942492849,0.999820495462944,26.13,35.74,21.57,39.35,33.14,34.27,19.13,44.61,24.78,"ZBTB16","Not Significant",0.465649002596608,0.465649002596608,"Not Capped"
"9714","chr8",144685740,144686140,401,"*",6.29768644226588,6.2818814152154,6.31720230671781,0.177706790961248,0.343544686278063,0.999820495462944,65.19,89.17,53.82,98.17,82.69,89.01,49.69,115.88,64.37,"ZNF251","Not Significant",0.464016764450864,0.464016764450864,"Not Capped"
