"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL"
"238","chr2",177289832,177290232,401,"*",3.43775812194982,3.82697898639368,2.73146434360159,1.29096598588225,0.0132985071574483,0.999820495462944,11.89,16.26,9.82,17.91,15.08,7.41,4.14,9.65,5.36,"NFE2L2"
"239","chr6",72190897,72191297,401,"*",3.05613661020775,2.02213524591723,3.76944332582203,-1.50719221019341,0.0133249461162189,0.999820495462944,3.4,4.66,2.81,5.12,4.32,15.22,8.5,19.82,11.01,"RIMS1"
"240","chr6",149717917,149718317,401,"*",6.13888116677984,5.79446119485126,6.47855365623809,-0.469995228390552,0.0133512166881679,0.999820495462944,46.5,63.61,38.39,70.03,58.98,99.54,55.57,129.6,71.99,"LATS1"
"241","chr14",89304074,89304474,401,"*",3.6362228537534,3.96688637791214,3.07560228702807,1.0923208542223,0.0133858698774986,0.999820495462944,13.1,17.92,10.82,19.73,16.62,9.41,5.25,12.25,6.81,"FOXN3"
"242","chr10",18627611,18628011,401,"*",4.4736329729335,4.68801606233997,4.15123662030783,0.745450554136802,0.0135575649987162,0.999820495462944,21.6,29.54,17.83,32.52,27.39,19.83,11.07,25.82,14.34,"NSUN6"
"243","chr12",10905165,10905565,401,"*",2.69873461922948,1.39538099481499,3.50073832724972,-1.84634460183049,0.0137288852531381,0.999820495462944,2.2,3.01,1.82,3.32,2.8,12.64,7.05,16.45,9.14,"TAS2R13"
"244","chr12",20783830,20784230,401,"*",3.88273341848802,4.17618076028309,3.40487634819414,0.975581388659386,0.0137481220333321,0.999820495462944,15.15,20.72,12.51,22.81,19.21,11.82,6.6,15.39,8.55,"SLCO1B3"
"245","chr19",11422304,11422704,401,"*",4.50173875927668,4.00594294961998,4.94909263127636,-0.725763288894921,0.0137560098284087,0.999820495462944,13.46,18.41,11.11,20.27,17.07,34.48,19.25,44.89,24.94,"RGL3"
"246","chr7",107661519,107661919,401,"*",4.60493122096406,4.80398777585956,4.30991954004406,0.703558187808876,0.0137974968529188,0.999820495462944,23.4,32.01,19.32,35.25,29.69,22.14,12.36,28.83,16.01,"SLC26A4-AS1"
"247","chr10",110567384,110567784,401,"*",6.31100642290066,6.41805360187974,6.16495897545028,0.465637434227301,0.0139473216987407,0.999820495462944,71.64,98,59.15,107.89,90.87,80.09,44.72,104.28,57.92,"SMC3"
"248","chr17",1764237,1764637,401,"*",4.87466110257293,4.43402060604926,5.2849921329727,-0.63498285869284,0.0139963393706621,0.999820495462944,18.11,24.77,14.95,27.27,22.97,43.52,24.3,56.66,31.47,"SERPINF1"
"249","chr3",69080156,69080556,401,"*",5.4382477264181,5.57344257917166,5.24922311220357,0.535933190034992,0.0141117283026051,0.999820495462944,39.9,54.57,32.94,60.08,50.6,42.46,23.7,55.28,30.7,"UBA3"
"250","chr1",104947082,104947482,401,"*",3.23394780626805,3.64322057876764,2.47268507342448,1.36323499565916,0.0141566637445846,0.999820495462944,10.47,14.32,8.64,15.76,13.28,6.2,3.46,8.07,4.48,"LINC01676"
"251","chr16",2459841,2460241,401,"*",6.07793531448543,6.1862026309165,5.93006831135964,0.468537700135412,0.0142113384096152,0.999820495462944,61.01,83.45,50.37,91.88,77.38,68.06,38,88.61,49.22,"TEDC2"
"252","chr8",60792852,60793252,401,"*",5.52698191687178,5.65489719273119,5.34927650665388,0.517479840254635,0.0142452337913887,0.999820495462944,42.21,57.74,34.85,63.57,53.54,45.5,25.4,59.24,32.91,"CHD7"
"253","chr1",99004592,99004992,401,"*",4.52089583181643,4.72698035820555,4.2134275035107,0.722529042290178,0.0142669440348312,0.999820495462944,22.19,30.35,18.32,33.41,28.14,20.71,11.56,26.96,14.98,"PLPPR5"
"254","chr7",726454,726854,401,"*",5.51790505950691,5.64731247353513,5.33789135040097,0.521226573210842,0.0143084792554122,0.999820495462944,41.99,57.44,34.67,63.24,53.26,45.15,25.2,58.78,32.65,"DNAAF5"
"255","chr10",120711644,120712044,401,"*",3.05668624552656,3.49964965440413,2.19617616238094,1.48930193811118,0.0143669986260482,0.999820495462944,9.48,12.96,7.82,14.27,12.02,5.12,2.86,6.66,3.7,"WDR11-AS1"
"256","chr9",21611984,21612384,401,"*",3.61376472554202,2.87108084555055,4.20157789217018,-1.1055170416938,0.0143934768841327,0.999820495462944,6.13,8.38,5.06,9.23,7.77,20.54,11.47,26.74,14.85,"MIR31HG"
"257","chr22",45012470,45012870,401,"*",3.49065758015201,2.67540160807802,4.11322762810905,-1.2095101339668,0.0143946629952938,0.999820495462944,5.35,7.32,4.42,8.06,6.79,19.32,10.79,25.15,13.97,"PHF21B"
"258","chr15",40763859,40764259,401,"*",5.34793981637948,5.48447875361174,5.15680921544483,0.539306711590705,0.0145520498860726,0.999820495462944,37.51,51.31,30.97,56.49,47.58,39.82,22.23,51.85,28.8,"GCHFR"
"259","chr13",33831235,33831635,401,"*",2.3974496539,2.98656339342294,0.961474874750174,2.15703521731194,0.0147370839631293,0.999820495462944,6.64,9.08,5.48,10,8.42,2.17,1.21,2.83,1.57,"RFC3"
"260","chr1",77539030,77539430,401,"*",3.29745145595886,3.69881481270053,2.55821349898474,1.33459114124684,0.0147896438709853,0.999820495462944,10.88,14.88,8.98,16.38,13.8,6.57,3.67,8.56,4.75,"AK5"
"261","chr8",140596873,140597273,401,"*",5.98526218438242,6.09448830673752,5.83596264785368,0.470882679372097,0.014804729959164,0.999820495462944,57.25,78.31,47.27,86.22,72.61,63.76,35.6,83.01,46.11,"AGO2"
"262","chr17",73473095,73473495,401,"*",3.19957616569697,3.61776737145422,2.41291982316421,1.39552883213791,0.0148165079603033,0.999820495462944,10.29,14.07,8.49,15.49,13.05,5.94,3.32,7.74,4.3,"SDK2"
"263","chr1",179129612,179130012,401,"*",4.9221820430329,5.08815633480777,4.68363011440205,0.61513527993954,0.0148193626262333,0.999820495462944,28.5,38.98,23.53,42.92,36.15,28.69,16.02,37.35,20.75,"ABL2"
"264","chr7",16420716,16421116,401,"*",5.9247960576227,6.04707108513775,5.7557613610182,0.503546533051608,0.0148463721932222,0.999820495462944,55.4,75.78,45.74,83.43,70.27,60.31,33.67,78.53,43.62,"CRPPA"
"265","chr11",62273319,62273719,401,"*",2.83633825939749,1.66207120306908,3.59857138005601,-1.68549711236747,0.0148484479488349,0.999820495462944,2.65,3.63,2.19,3.99,3.36,13.52,7.55,17.6,9.78,"SCGB2A2"
"266","chr10",43595672,43596072,401,"*",3.70887100180867,3.00528930284466,4.27684732554246,-1.04746058586564,0.0148627980878863,0.999820495462944,6.73,9.2,5.55,10.13,8.53,21.64,12.08,28.17,15.65,"ZNF485"
"267","chr11",134364753,134365153,401,"*",3.86120124558994,4.16527785391685,3.36040126025932,1.00867370648344,0.0148747341781085,0.999820495462944,15.03,20.56,12.41,22.64,19.07,11.46,6.4,14.93,8.29,"GLB1L2"
"268","chr2",56183948,56184348,401,"*",4.0158842961435,3.41444019890933,4.52799246128434,-0.892809256527924,0.0149210965439588,0.999820495462944,8.93,12.22,7.38,13.45,11.33,25.75,14.38,33.53,18.62,"CCDC85A"
"269","chr6",142569641,142570041,401,"*",3.70416032562947,3.01204769609507,4.26616234407233,-1.03005000350958,0.0150044945274414,0.999820495462944,6.76,9.25,5.58,10.18,8.57,21.48,11.99,27.96,15.53,"LOC153910"
"270","chr1",52637038,52637438,401,"*",5.10639159222376,5.25755352994676,4.89201857136654,0.576662567058113,0.0150420945674278,0.999820495462944,32.05,43.84,26.46,48.27,40.65,33.14,18.5,43.15,23.97,"SHISAL2A"
"271","chr6",134123847,134124247,401,"*",4.41764751776467,4.64317052250793,4.07482782301854,0.776704616378261,0.0150914274994831,0.999820495462944,20.94,28.64,17.29,31.53,26.55,18.81,10.5,24.49,13.6,"SGK1"
"272","chr9",136327365,136327765,401,"*",4.71633679988486,4.26315560226806,5.13529520144597,-0.65565949996023,0.0152188830946594,0.999820495462944,16.09,22.01,13.28,24.23,20.4,39.23,21.9,51.08,28.37,"GPSM1"
"273","chr13",113584529,113584929,401,"*",4.94684798191296,4.52651282028668,5.34293757431519,-0.600628241189099,0.0152333686590489,0.999820495462944,19.31,26.41,15.94,29.08,24.49,45.3,25.29,58.98,32.76,"TFDP1"
"274","chr11",2377839,2378239,401,"*",5.08326929483233,4.67790952696625,5.46863408883031,-0.57526379937156,0.0153379600862531,0.999820495462944,21.45,29.34,17.71,32.3,27.2,49.43,27.6,64.35,35.75,"CD81-AS1"
"275","chr13",73702433,73702833,401,"*",5.27558976050834,5.41822483656691,5.07484375497183,0.554796118058786,0.0153804481948133,0.999820495462944,35.83,49.01,29.58,53.95,45.44,37.62,21,48.98,27.21,"LINC00392"
"276","chr16",57696312,57696712,401,"*",3.64714513696271,2.93241069364054,4.22086226466045,-1.0637087395142,0.0156030834137867,0.999820495462944,6.4,8.75,5.28,9.63,8.11,20.81,11.62,27.1,15.05,"DRC7"
"277","chr1",39683932,39684332,401,"*",4.67547675693945,4.20836172918837,5.10387410024529,-0.678772793775498,0.0156177321417633,0.999820495462944,15.49,21.19,12.79,23.32,19.64,38.39,21.43,49.98,27.76,"HPCAL4"
"278","chr1",179002799,179003199,401,"*",4.38554992383472,4.6059436214236,4.0521895631101,0.762466694231682,0.0156394027376968,0.999820495462944,20.4,27.91,16.84,30.73,25.88,18.52,10.34,24.11,13.39,"FAM20B"
"279","chr1",175023368,175023768,401,"*",6.22460044907527,6.3297605834734,6.08135956434336,0.460910762681032,0.0156606230819739,0.999820495462944,67.39,92.18,55.64,101.49,85.48,75.58,42.2,98.41,54.66,"MRPS14"
"280","chr9",130450562,130450962,401,"*",3.40069964791566,2.5410272766699,4.04331147798996,-1.27258754308117,0.0156612605524142,0.999820495462944,4.88,6.67,4.03,7.34,6.18,18.4,10.27,23.96,13.31,"ASS1"
"281","chr8",38938381,38938781,401,"*",5.50826056077149,5.63701481647409,5.3292580189462,0.519628734649177,0.0156730145997691,0.999820495462944,41.69,57.03,34.42,62.79,52.88,44.88,25.05,58.43,32.45,"PLEKHA2"
"282","chr12",121686841,121687241,401,"*",6.59083341514651,6.69450453325147,6.44980068319265,0.457396938636035,0.0157361167454838,0.999820495462944,86.78,118.7,71.64,130.68,110.06,97.58,54.48,127.04,70.57,"MORN3"
"283","chrX",3713456,3713856,401,"*",6.10942581366824,5.76821952075372,6.44659311139205,-0.464194991501042,0.0157380673260256,0.999820495462944,45.66,62.46,37.7,68.77,57.92,97.36,54.35,126.76,70.41,"PRKX"
"284","chr4",153684125,153684525,401,"*",5.02237362540359,4.60897635645294,5.41351831231711,-0.5889527557454,0.0158968837349001,0.999820495462944,20.45,27.97,16.88,30.79,25.93,47.58,26.56,61.94,34.41,"TLR2"
"285","chr14",43714045,43714445,401,"*",3.21751933526892,2.3070360058936,3.88199440543195,-1.34150558515221,0.0159462863681871,0.999820495462944,4.15,5.67,3.42,6.24,5.26,16.46,9.19,21.43,11.9,"FSCB"
"286","chr7",22499943,22500343,401,"*",4.80649527915747,4.97922523191237,4.55669570941531,0.632862980380949,0.0159586665220645,0.999820495462944,26.43,36.15,21.82,39.8,33.52,26.27,14.67,34.2,19,"STEAP1B"
"287","chr10",6118325,6118725,401,"*",2.52320782150342,1.15777763000368,3.34275473109065,-1.9169450226654,0.0160312709566784,0.999820495462944,1.87,2.56,1.54,2.82,2.37,11.32,6.32,14.74,8.19,"RBM17"
"288","chr1",10947348,10947748,401,"*",4.13417659015155,3.57035903069974,4.62409240466662,-0.834009554042005,0.0161201350042196,0.999820495462944,9.95,13.61,8.22,14.99,12.62,27.53,15.37,35.84,19.91,"C1orf127"
"289","chr12",92593827,92594227,401,"*",6.43276733031629,6.53781951208046,6.28968672547627,0.460742027164084,0.0161884369797714,0.999820495462944,77.85,106.48,64.27,117.23,98.74,87.33,48.75,113.69,63.15,"PLEKHG7"
"290","chr6",141317304,141317704,401,"*",3.33557124388164,3.72497294822097,2.62879430998855,1.29070602026202,0.0163656515532998,0.999820495462944,11.08,15.15,9.15,16.68,14.05,6.9,3.85,8.99,4.99,"MIR4465"
"291","chr12",57604925,57605325,401,"*",4.14483317638349,4.40023619055613,3.74493841493994,0.862068650983129,0.0164376092616381,0.999820495462944,17.69,24.2,14.61,26.64,22.44,14.97,8.36,19.48,10.82,"DTX3"
"292","chrX",107206257,107206657,401,"*",4.55873444783425,4.08371609454975,4.9924181768729,-0.691720389475942,0.0165158240352772,0.999820495462944,14.21,19.43,11.73,21.39,18.02,35.53,19.84,46.26,25.7,"DNAAF6"
"293","chr9",91193731,91194131,401,"*",4.7447680712912,4.92137543003098,4.48844906607297,0.643038172798472,0.0165268717654474,0.999820495462944,25.39,34.73,20.96,38.23,32.2,25.06,13.99,32.62,18.12,"LINC00484"
"294","chr22",46738837,46739237,401,"*",5.3353282581929,5.46820496972046,5.14992403752857,0.529873203409553,0.0166273131815078,0.999820495462944,37.09,50.73,30.62,55.85,47.04,39.63,22.13,51.6,28.66,"CERK"
"295","chr7",100119302,100119702,401,"*",6.13317014712182,6.23683407381794,5.99214806602379,0.457158959494887,0.0166581520812873,0.999820495462944,63.19,86.43,52.17,95.16,80.14,71.05,39.67,92.51,51.38,"CNPY4"
"296","chr7",151972686,151973086,401,"*",3.23123432001973,2.31739986031275,3.89711309573553,-1.34553231130797,0.016720456602481,0.999820495462944,4.18,5.71,3.45,6.29,5.3,16.63,9.28,21.65,12.03,"GALNTL5"
"297","chr19",49527718,49528118,401,"*",5.05865354725737,4.65066460199669,5.44591512096652,-0.579801228476168,0.0167352856844374,0.999820495462944,21.04,28.79,17.38,31.69,26.69,48.66,27.16,63.35,35.19,"RCN3"
"298","chr3",125052137,125052537,401,"*",4.9985558027787,5.15353998161496,4.77800589154028,0.586512858341677,0.0168554601228799,0.999820495462944,29.82,40.79,24.62,44.91,37.82,30.63,17.1,39.87,22.15,"HEG1"
"299","chr19",44844641,44845041,401,"*",5.00285086587148,4.59008666174204,5.3935423104799,-0.587804464905108,0.0168830893358431,0.999820495462944,20.18,27.6,16.66,30.39,25.59,46.92,26.2,61.09,33.93,"NECTIN2"
"300","chr6",28399579,28399979,401,"*",4.93368788426991,5.09335283192306,4.70551497483345,0.598618535950123,0.0169811902780362,0.999820495462944,28.6,39.13,23.62,43.07,36.28,29.12,16.26,37.92,21.06,"ZSCAN12"
"301","chr14",91881024,91881424,401,"*",5.07193144550867,4.66761129017725,5.45654458316474,-0.57353631427567,0.0169993794967511,0.999820495462944,21.29,29.13,17.58,32.07,27.01,49.02,27.37,63.82,35.45,"FBLN5"
"302","chr5",160421627,160422027,401,"*",5.16694871624043,5.30863460869359,4.96770674932489,0.552287391018999,0.0170836558585661,0.999820495462944,33.21,45.42,27.42,50.01,42.12,34.93,19.5,45.48,25.26,"SLU7"
"303","chr19",12881268,12881668,401,"*",5.45504582894421,5.08936505556432,5.81104513096021,-0.506944888839995,0.0170869180884452,0.999820495462944,28.52,39.02,23.55,42.96,36.18,62.67,34.99,81.59,45.32,"DNASE2"
"304","chr1",25543416,25543816,401,"*",4.94043040112377,4.52105594625094,5.33583768653885,-0.598985639377369,0.017088499397615,0.999820495462944,19.24,26.31,15.88,28.97,24.4,45.08,25.17,58.7,32.6,"LDLRAP1"
"305","chr3",191329534,191329934,401,"*",4.06081335725646,3.48151710188962,4.55997018691152,-0.858371055252039,0.0170915946618351,0.999820495462944,9.36,12.8,7.73,14.09,11.87,26.33,14.7,34.28,19.04,"UTS2B"
"306","chr12",86892679,86893079,401,"*",3.71955565697397,4.02650071701544,3.21247180668556,1.01702846600027,0.0171183289364225,0.999820495462944,13.65,18.68,11.27,20.56,17.32,10.35,5.78,13.47,7.48,"MGAT4C"
"307","chr2",178396987,178397387,401,"*",3.56899174787728,3.90613798101712,2.99322778759251,1.11272258001654,0.0171319996796767,0.999820495462944,12.56,17.18,10.37,18.92,15.93,8.89,4.96,11.57,6.43,"CHROMR"
"308","chr1",54489354,54489754,401,"*",5.2652460755521,4.88452414206554,5.63254282940041,-0.532932166476645,0.0172783909664887,0.999820495462944,24.75,33.85,20.43,37.27,31.39,55.38,30.92,72.1,40.05,"ACOT11"
"309","chr17",35051188,35051588,401,"*",4.63769403196825,4.82698857364385,4.35970961557777,0.676910037009951,0.0173055516650247,0.999820495462944,23.78,32.53,19.63,35.81,30.16,22.92,12.79,29.84,16.57,"RFFL"
"310","chr8",132879581,132879981,401,"*",3.32294693374018,2.46975943633591,3.9626880666142,-1.2623653652608,0.0173610345571737,0.999820495462944,4.64,6.35,3.83,6.99,5.89,17.4,9.72,22.66,12.59,"TG"
"311","chr5",45765864,45766264,401,"*",3.57198528494855,3.91481426767375,2.98275768726619,1.13215226000791,0.0174110229453091,0.999820495462944,12.64,17.29,10.43,19.03,16.03,8.82,4.93,11.49,6.38,"HCN1"
"312","chr7",145943243,145943643,401,"*",3.70477871961615,3.01739254561304,4.26429757774857,-1.02297554377719,0.0175730775530977,0.999820495462944,6.78,9.28,5.6,10.22,8.6,21.45,11.98,27.93,15.51,"CNTNAP2"
"313","chr9",129597377,129597777,401,"*",4.05284116116169,3.47310517665,4.55225821232201,-0.858751646566353,0.017575880183086,0.999820495462944,9.3,12.73,7.68,14.01,11.8,26.19,14.62,34.1,18.94,"NTMT1"
"314","chr4",137065432,137065832,401,"*",2.45172725789678,3.01621271141555,1.13492976454378,2.03007467238998,0.0175871436766754,0.999820495462944,6.78,9.27,5.6,10.21,8.6,2.45,1.37,3.19,1.77,"LINC02510"
"315","chr9",129069305,129069705,401,"*",5.21632661592404,4.83111089318391,5.58695892623849,-0.540687179923005,0.0176917299264323,0.999820495462944,23.85,32.62,19.69,35.91,30.25,53.65,29.95,69.86,38.8,"MIGA2"
"316","chr5",178895802,178896202,401,"*",4.49646589124297,4.69428331032574,4.20363314285113,0.699936315943926,0.0176936235942204,0.999820495462944,21.69,29.67,17.91,32.67,27.51,20.57,11.48,26.78,14.87,"ZFP2"
"317","chr3",6884865,6885265,401,"*",2.91910817153681,3.37808747645297,2.00803340990027,1.55152191798502,0.0177087908077139,0.999820495462944,8.71,11.92,7.19,13.12,11.05,4.49,2.51,5.85,3.25,"GRM7-AS2"
"318","chr11",72781682,72782082,401,"*",4.97694702859522,4.56468140013326,5.36728127797477,-0.58691723443688,0.0178051876673515,0.999820495462944,19.83,27.12,16.37,29.86,25.15,46.08,25.72,59.99,33.32,"STARD10"
"319","chr2",239227003,239227403,401,"*",3.72660762650456,4.03276061762181,3.22126293445519,1.01428821023638,0.0178770405331741,0.999820495462944,13.71,18.76,11.32,20.65,17.39,10.41,5.81,13.55,7.53,"HDAC4"
"320","chr14",23120767,23121167,401,"*",4.81488119807396,4.98167238480831,4.5749766448144,0.617204327097176,0.0178917611347406,0.999820495462944,26.47,36.21,21.86,39.87,33.58,26.61,14.85,34.64,19.24,"CEBPE"
"321","chr6",32666500,32666900,401,"*",3.9299159152041,3.31412495459043,4.45024761186947,-0.915181235626798,0.0179479062073689,0.999820495462944,8.33,11.4,6.88,12.55,10.57,24.4,13.62,31.77,17.65,"HLA-DQB1"
"322","chr14",27506688,27507088,401,"*",3.62358264781179,3.9455959727731,3.0828205430078,1.06428923775678,0.0179489955229112,0.999820495462944,12.91,17.66,10.66,19.44,16.37,9.46,5.28,12.31,6.84,"LINC00645"
"323","chr13",95684946,95685346,401,"*",3.54139880414642,2.77598556746448,4.14037750110722,-1.13689643742536,0.0179951411368284,0.999820495462944,5.74,7.85,4.74,8.64,7.28,19.69,10.99,25.63,14.24,"DNAJC3"
"324","chr1",64251807,64252207,401,"*",3.68713490371398,2.98947803715704,4.25203396774396,-1.03837211569023,0.0180204083562567,0.999820495462944,6.65,9.1,5.49,10.02,8.44,21.27,11.87,27.69,15.38,"UBE2U"
"325","chr1",239501703,239502103,401,"*",5.03025644212408,5.18543930204882,4.80938428159026,0.586871537166601,0.0180433092770752,0.999820495462944,30.49,41.7,25.17,45.91,38.67,31.3,17.47,40.75,22.64,"CHRM3"
"326","chr13",72781824,72782224,401,"*",6.1318470288736,6.23468405178527,5.99204875820535,0.455097885750474,0.0180615246382378,0.999820495462944,63.09,86.3,52.09,95.01,80.03,71.05,39.66,92.5,51.38,"PIBF1"
"327","chr3",13073549,13073949,401,"*",4.34876929810596,3.84228148552224,4.803031994083,-0.742810059756611,0.0180824213802743,0.999820495462944,12.02,16.44,9.92,18.1,15.24,31.16,17.4,40.57,22.54,"IQSEC1"
"328","chr9",131762347,131762747,401,"*",4.722170870495,4.28202164587453,5.13216134438335,-0.633774924662364,0.0181237358637179,0.999820495462944,16.3,22.3,13.46,24.55,20.67,39.15,21.86,50.97,28.31,"RAPGEF1"
"329","chr3",115649945,115650345,401,"*",3.02363302404061,3.48954539774292,2.08992700252886,1.58202182835005,0.0181355857527859,0.999820495462944,9.41,12.87,7.77,14.17,11.94,4.75,2.65,6.19,3.44,"GAP43"
"330","chr8",22599540,22599940,401,"*",5.45555141590985,5.09078975966356,5.81085364728961,-0.505273088278892,0.0182563160735497,0.999820495462944,28.55,39.06,23.57,43,36.21,62.66,34.98,81.58,45.32,"C8orf58"
"331","chr2",7031684,7032084,401,"*",5.0396256052304,5.18867671835631,4.82864548150254,0.571081734385838,0.0182593916189752,0.999820495462944,30.56,41.8,25.23,46.02,38.76,31.72,17.71,41.3,22.94,"RNF144A"
"332","chr9",30299220,30299620,401,"*",4.0065614000556,3.4188479600935,4.51067749319983,-0.871476400646344,0.0182596933899866,0.999820495462944,8.96,12.26,7.4,13.49,11.37,25.45,14.21,33.13,18.4,"LINC01242"
"333","chr9",77703370,77703770,401,"*",3.02121308680414,3.4696598847093,2.14365266185091,1.51022355252352,0.0182838232503832,0.999820495462944,9.28,12.7,7.66,13.98,11.77,4.93,2.75,6.42,3.57,"GNA14"
"334","chr3",125990378,125990778,401,"*",4.84534875911897,5.01367881693586,4.60289058855069,0.621066901131065,0.018399303262958,0.999820495462944,27.07,37.02,22.35,40.76,34.33,27.12,15.14,35.32,19.62,"ROPN1B"
"335","chr16",84970568,84970968,401,"*",4.34263154450151,4.55617456418701,4.02175733852031,0.742932454033434,0.0184843349342893,0.999820495462944,19.71,26.96,16.27,29.68,25,18.13,10.12,23.61,13.11,"ZDHHC7"
"336","chr8",139553166,139553566,401,"*",2.97993670024899,1.96358337319856,3.68661712864192,-1.48296315918216,0.0185267799762092,0.999820495462944,3.27,4.47,2.7,4.92,4.14,14.37,8.02,18.71,10.39,"KCNK9"
"337","chr10",61378554,61378954,401,"*",2.81640056728169,3.29436692924675,1.84221250740361,1.6302760459004,0.0186054506857698,0.999820495462944,8.22,11.24,6.79,12.38,10.43,4,2.23,5.21,2.89,"TMEM26"
"338","chr12",103100248,103100648,401,"*",2.71480212946369,3.21031626602977,1.67893054281538,1.70556790557913,0.018618315810882,0.999820495462944,7.75,10.61,6.4,11.68,9.84,3.57,2,4.65,2.58,"LOC101929058"
"339","chr11",61777108,61777508,401,"*",4.7461012311394,4.30376192160773,5.15760839045343,-0.637481509341702,0.0186706659825871,0.999820495462944,16.55,22.63,13.66,24.92,20.99,39.84,22.24,51.87,28.81,"MYRF"
"340","chr17",8899020,8899420,401,"*",6.08828768100514,5.75739187563469,6.41735002445191,-0.445830393171538,0.018682656439913,0.999820495462944,45.32,61.99,37.42,68.25,57.48,95.41,53.26,124.21,69,"PIK3R5"
"341","chr11",101429289,101429689,401,"*",3.11441864190649,3.54173481628643,2.30114209455263,1.42895332541382,0.0187937755505545,0.999820495462944,9.76,13.35,8.06,14.69,12.38,5.5,3.07,7.16,3.98,"TRPC6"
"342","chr12",123271524,123271924,401,"*",4.7370930657814,4.30006425919782,5.14491582942934,-0.628572217715331,0.0188720419205409,0.999820495462944,16.5,22.58,13.63,24.85,20.93,39.49,22.05,51.42,28.56,"CDK2AP1"
"343","chr7",12556132,12556532,401,"*",3.56744112474172,2.83223358724141,4.15152379309403,-1.09347689194324,0.0189087137891832,0.999820495462944,5.97,8.16,4.93,8.99,7.57,19.84,11.08,25.83,14.35,"SCIN"
"344","chr10",13099848,13100248,401,"*",5.60098499660982,5.24581353154666,5.94896704313986,-0.488578903235522,0.0189277009306193,0.999820495462944,31.79,43.49,26.25,47.88,40.32,68.96,38.5,89.78,49.87,"OPTN"
"345","chr15",69759012,69759412,401,"*",5.1626135666601,4.77128733728822,5.53775255369134,-0.551229224068288,0.0189827117402812,0.999820495462944,22.88,31.3,18.89,34.46,29.02,51.85,28.95,67.51,37.5,"LINC00593"
"346","chr7",63926186,63926586,401,"*",6.3659420052838,6.46667288714919,6.22925296518787,0.450000221378694,0.0190559841973503,0.999820495462944,74.1,101.36,61.18,111.59,93.99,83.74,46.75,109.03,60.56,"ZNF722P"
"347","chr11",124876286,124876686,401,"*",5.94457692761413,6.04691798919725,5.80551184152443,0.453774914234458,0.0190737802494759,0.999820495462944,55.39,75.77,45.73,83.42,70.26,62.43,34.85,81.28,45.15,"ROBO3"
"348","chr17",37630459,37630859,401,"*",2.24077930919175,0.666751512688525,3.11275166602841,-2.1537233078811,0.0190841054489153,0.999820495462944,1.33,1.82,1.1,2,1.69,9.66,5.39,12.57,6.98,"DDX52"
"349","chr1",226680045,226680445,401,"*",5.00250624311313,4.59590818552023,5.38876512358199,-0.577417193262673,0.0193745995104308,0.999820495462944,20.26,27.71,16.73,30.51,25.7,46.77,26.11,60.89,33.82,"ITPKB-IT1"
"350","chr5",72320109,72320509,401,"*",6.27264269261217,6.37131184704639,6.13898646062999,0.444870828719723,0.0194595328220987,0.999820495462944,69.36,94.88,57.27,104.45,87.97,78.66,43.92,102.42,56.89,"MRPS27"
"351","chr2",196132321,196132721,401,"*",4.13761005151075,4.37846020342095,3.76594318463748,0.819859065469588,0.0195214543302918,0.999820495462944,17.43,23.84,14.39,26.24,22.1,15.19,8.48,19.77,10.98,"STK17B"
"352","chr11",40536658,40537058,401,"*",2.57216949553318,3.10903938369304,1.37613481601011,1.89154019561231,0.0196356196721729,0.999820495462944,7.23,9.89,5.97,10.89,9.17,2.9,1.62,3.77,2.1,"LRRC4C"
"353","chr4",121950228,121950628,401,"*",4.72128651643247,4.89426605065738,4.47106871501019,0.633572471943516,0.0196514934191871,0.999820495462944,24.92,34.08,20.57,37.52,31.6,24.76,13.82,32.23,17.9,"TRPC3"
"354","chr6",2718670,2719070,401,"*",2.79773043353863,1.61374117064605,3.56312431675517,-1.69857404342621,0.019652677667925,0.999820495462944,2.56,3.51,2.12,3.86,3.25,13.19,7.37,17.18,9.54,"MYLK4"
"355","chr5",139747090,139747490,401,"*",4.74674334570702,4.30822624789176,5.15560099533993,-0.631008220328101,0.019680903683414,0.999820495462944,16.6,22.7,13.7,25,21.05,39.79,22.21,51.8,28.77,"PSD2-AS1"
"356","chr15",81330851,81331251,401,"*",3.49788193516402,3.84314564552792,2.90283089053834,1.13929526668722,0.0197446300353803,0.999820495462944,12.02,16.45,9.93,18.11,15.25,8.35,4.66,10.87,6.04,"TMC3-AS1"
"357","chr1",26126444,26126844,401,"*",5.59060498892838,5.70561614863615,5.43261146306862,0.48498721897213,0.0197496126323291,0.999820495462944,43.72,59.81,36.1,65.85,55.46,48.21,26.92,62.77,34.87,"PDIK1L"
"358","chr2",239289052,239289452,401,"*",4.95029451917369,5.1067759607013,4.72731326441561,0.59012591374626,0.0198442803866614,0.999820495462944,28.87,39.49,23.84,43.48,36.62,29.57,16.51,38.5,21.38,"HDAC4"
"359","chr21",37332195,37332595,401,"*",2.49182711970847,1.1216535304067,3.31267523599626,-1.9225594071493,0.0199119834299199,0.999820495462944,1.82,2.49,1.51,2.75,2.31,11.09,6.19,14.44,8.02,"DYRK1A"
