# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	NKX1-1 (-105492)
Region3268	MRPL33 (+2)
Region3269	DDX43 (-6024)
Region3270	PNPO (+7967)
Region3271	TPBG (+348132)
Region3272	NIPA1 (+8)
Region3273	MROH6 (+4170)
Region3274	NFATC2 (+1294)
Region3275	SHH (-18108)
Region3276	ANKMY2 (-143)
Region3277	HDAC4 (+79033)
Region3278	RTL1 (-290265)
Region3279	SPRED3 (+5667)
Region3280	GPR35 (+6989)
Region3281	RBM47 (-115643)
Region3282	NINJ1 (-9866)
Region3283	ATP6V1C1 (-20)
Region3284	CERS4 (-14666)
Region3285	TMEFF2 (+822)
Region3286	HHLA3 (+24)
Region3287	PRRC1 (+52030)
Region3288	AAK1 (+60667)
Region3289	F2 (+590)
Region3290	KDM4C (+65602)
Region3291	BCL7C (+18943)
Region3292	REEP3 (+520039)
Region3293	ADGRL3 (-868260)
Region3294	ELOVL5 (+517)
Region3295	NONE
Region3296	SDC3 (-20863)
Region3297	CD109 (+60983)
Region3298	HSPA2 (+4581)
Region3299	ADRB1 (-82282)
Region3300	DNAJB12 (+35300)
Region3301	CMIP (-476)
Region3302	LY75 (-91)
Region3303	OBSCN (+5444)
Region3304	NONE
Region3305	CDH13 (+14513)
Region3306	DCUN1D5 (+896)
Region3307	SACS (-55007)
Region3308	RUNX3 (+93397)
Region3309	GATA4 (-95051)
Region3310	NRTN (+4231)
Region3311	HIVEP1 (+35060)
Region3312	SCAI (+17223)
Region3313	ST6GAL1 (+95539)
Region3314	BBX (+68756)
Region3315	RGL3 (-1415)
Region3316	AMZ2 (-42067)
Region3317	DZIP3 (+72645)
Region3318	PDAP1 (-33)
Region3319	CATSPERG (+53)
Region3320	PRR16 (+818)
Region3321	ZBTB7A (-287)
Region3322	TSKU (+7626)
Region3323	LAMC2 (+32878)
Region3324	ENSG00000267699 (+222)
Region3325	NXPH1 (+190821)
Region3326	PUS7L (+83591)
Region3327	SLC4A3 (+691553)
Region3328	NEU3 (+34845)
Region3329	FUT8 (-122754)
Region3330	RPS6KA2 (+204119)
Region3331	RBMS2 (-164)
Region3332	CEP162 (-109188)
Region3333	TRAM1 (+73739)
Region3334	MDH2 (-16)
Region3335	ROBO3 (-28217)
Region3336	SLC38A1 (+57569)
Region3337	TCEAL4 (+10199)
Region3338	ZNF395 (+175)
Region3339	PRKCB (+1124)
Region3340	BRINP3 (-592658)
Region3341	PARP8 (+77835)
Region3342	RAB39A (-137)
Region3343	ABHD12B (-12117)
Region3344	SFT2D1 (+214)
Region3345	VEZF1 (+48381)
Region3346	PDE4C (+22227)
Region3347	GINS4 (-130)
Region3348	HIST2H2AC (-1)
Region3349	NAP1L4 (-22242)
Region3350	MRPS31 (-5847)
Region3351	ZNF776 (-5)
Region3352	STOML1 (+18542)
Region3353	OXA1L (-53324)
Region3354	ZFP36L2 (+73982)
Region3355	CNTRL (+46766)
Region3356	KCNT2 (+965876)
Region3357	SPAG16 (+103947)
Region3358	VRK2 (-147582)
Region3359	PRDM5 (+30146)
Region3360	ITSN2 (+157)
Region3361	CLCF1 (-8993)
Region3362	CHMP2B (-18)
Region3363	ENSG00000249209 (+7259)
Region3364	EPHA6 (+73099)
Region3365	UQCRFS1 (+91377)
Region3366	CTSL (-39341)
Region3367	ENSG00000233087 (-36136)
Region3368	TRAM1 (-10917)
Region3369	MEAF6 (-9)
Region3370	L1TD1 (-115041)
Region3371	PTDSS1 (+98613)
Region3372	SLAMF1 (-6901)
Region3373	RBMXL3 (+14547)
Region3374	POFUT2 (-65685)
Region3375	PHTF2 (+447445)
Region3376	TMEM131 (+125154)
Region3377	ATP23 (+211145)
Region3378	ARID4A (+32884)
Region3379	PTPA (+62907)
Region3380	RWDD3 (+619162)
Region3381	TMEM78 (-94184)
Region3382	RPL10L (+544151)
Region3383	PAIP2B (-240)
Region3384	CHD2 (-50830)
Region3385	KLHL2 (-16160)
Region3386	CDKN2AIP (-37350)
Region3387	YPEL2 (-20524)
Region3388	SLC30A9 (+62)
Region3389	POLB (+17572)
Region3390	CASP8 (-24569)
Region3391	WNT7B (-36934)
Region3392	SLITRK6 (+176513)
Region3393	GHRHR (-25198)
Region3394	FAM174A (-655863)
Region3395	CAMK4 (+6574)
Region3396	SCLY (-44404)
Region3397	ENO4 (-119081)
Region3398	GUCA1C (-70029)
Region3399	ABCB1 (+408)
Region3400	MTX2 (+284834)
Region3401	TPX2 (-68)
Region3402	PRSS2 (+13943)
Region3403	CDC5L (+72)
Region3404	BID (-56114)
Region3405	WDR73 (+20758)
Region3406	UMPS (-179754)
Region3407	PTPN5 (-11084)
Region3408	MRPL4 (+7167)
Region3409	FLT4 (-39853)
Region3410	ACSBG2 (+30863)
Region3411	LRFN5 (-470092)
Region3412	TMEM121 (+984707)
Region3413	LRRFIP2 (-1843)
Region3414	ISG20 (-2493)
Region3415	KLF12 (+279385)
Region3416	INPP4B (+491058)
Region3417	EEF2 (-4838)
Region3418	SOS1 (+54)
Region3419	IL2RA (-101)
Region3420	CCND2 (-130762)
Region3421	MRO (-23)
Region3422	NDUFB9 (+66091)
Region3423	ARRDC2 (-1010)
Region3424	LIPH (-6615)
Region3425	SERPIND1 (-76236)
Region3426	MICALL2 (+26779)
Region3427	MISP (+13667)
Region3428	SLC45A1 (+208199)
Region3429	SULF1 (-738929)
Region3430	HMOX1 (-29878)
Region3431	LEUTX (+16652)
Region3432	SESN1 (+85192)
Region3433	ETNK2 (-240)
Region3434	CD96 (+5790)
Region3435	ALOXE3 (-685)
Region3436	PDIA4 (+61712)
Region3437	KCNJ12 (-45285)
Region3438	GCNT4 (+55993)
Region3439	AGO1 (-17725)
Region3440	DCUN1D4 (+25064)
Region3441	RPL26L1 (+461)
Region3442	MYDGF (-52)
Region3443	KDM6A (-505)
Region3444	NABP2 (+4)
Region3445	MTUS2 (+3565)
Region3446	EPM2AIP1 (+47455)
Region3447	MTRNR2L5 (+12719)
Region3448	NONE
Region3449	KMT2E (-91054)
Region3450	MFRP (-17471)
Region3451	FSTL5 (+919862)
Region3452	CTNNA1 (-56049)
Region3453	ZAP70 (+93357)
Region3454	NRG2 (+74358)
Region3455	BRD9 (-54273)
Region3456	FOS (-19608)
Region3457	OR13H1 (+219814)
Region3458	GCNT4 (-29194)
Region3459	AOAH (+46646)
Region3460	GDF10 (-23854)
Region3461	PHRF1 (-282)
Region3462	LRRC20 (-792)
Region3463	TEX30 (+21)
Region3464	TTC30B (+195)
Region3465	MGAT4A (+10524)
Region3466	TMSB10 (+21413)
Region3467	CA13 (-25047)
Region3468	PHC3 (-7679)
Region3469	BCL11B (+758307)
Region3470	MAPK8IP1 (+57)
Region3471	SREK1 (+27376)
Region3472	CFHR2 (+10646)
Region3473	BHLHE22 (-411474)
Region3474	SRA1 (+816)
Region3475	PXDNL (+164379)
Region3476	TCF12 (-78748)
Region3477	RTN4 (-12)
Region3478	MAPK13 (-6329)
Region3479	DNAJC5B (+43655)
Region3480	FOXN2 (+42458)
Region3481	STEAP1 (-407029)
Region3482	WDR60 (+120475)
Region3483	SEMA3B (+3871)
Region3484	NDUFB8 (+125)
Region3485	HPS1 (-151950)
Region3486	PBX2 (-97)
Region3487	LASP1 (+7083)
Region3488	SDK1 (+160655)
Region3489	JADE2 (+29731)
Region3490	NONE
Region3491	JRKL (+811567)
Region3492	PRODH (-33795)
Region3493	IL17RA (-48026)
Region3494	COPS9 (-39)
Region3495	LAMA3 (-47917)
Region3496	FAM174A (+122037)
Region3497	MRPL39 (+185710)
Region3498	SCNN1G (-105)
Region3499	MRPL4 (-62)
Region3500	PLPP3 (+521760)
Region3501	HIST1H2BK (-149)
Region3502	GZMB (-179531)
Region3503	BCL2A1 (+202)
Region3504	NSD3 (+22685)
Region3505	RAD52 (+33321)
Region3506	GOLGA7B (-21737)
Region3507	SFMBT2 (-96660)
Region3508	CRTC1 (+17500)
Region3509	EDEM3 (-111)
Region3510	TPRA1 (+240195)
Region3511	RGS9 (+76142)
Region3512	MRPS21 (-100)
Region3513	NPHP4 (+17091)
Region3514	CAB39 (+996)
Region3515	NRSN2 (+461)
Region3516	CDKN2AIPNL (-54450)
Region3517	PIP5K1B (-565)
Region3518	C9orf72 (+15)
Region3519	MCTP1 (+20536)
Region3520	STXBP5 (+118067)
Region3521	ADRA2A (-800)
Region3522	WISP2 (-29483)
Region3523	PARP11 (-34)
Region3524	POLL (+77)
Region3525	CCDC91 (+224)
Region3526	DCTN2 (-85)
Region3527	HIVEP2 (-95)
Region3528	HIPK2 (+70065)
Region3529	CTDP1 (-51200)
Region3530	USP34 (+45265)
Region3531	KANSL1L (+107)
Region3532	IL26 (-11036)
Region3533	IPO5 (-225437)
Region3534	RAI1 (+42557)
Region3535	MYO16 (+150060)
Region3536	GPR39 (-437129)
Region3537	TAS2R42 (+15516)
Region3538	SCP2D1 (-76235)
Region3539	KRT7 (+7975)
Region3540	HKR1 (-16937)
Region3541	TPO (+137496)
Region3542	HACE1 (+69967)
Region3543	TGFBR1 (-212)
Region3544	SATB1 (+77460)
Region3545	KDM5B (+435)
Region3546	CCDC58 (+17404)
Region3547	OTUD1 (+255508)
Region3548	PDE9A (+84679)
Region3549	CYS1 (+237)
Region3550	RIPK1 (+492)
Region3551	TRERF1 (+22560)
Region3552	MIER1 (-22)
Region3553	HMGB1 (+20353)
Region3554	FAM3D (-383273)
Region3555	STXBP2 (-53)
Region3556	RNF180 (-15616)
Region3557	MAML2 (+99576)
Region3558	SLC39A10 (-620052)
Region3559	RBM38 (-40)
Region3560	INPP5K (-10173)
Region3561	SMARCE1 (+28342)
Region3562	ATG14 (+57112)
Region3563	LMNA (+854)
Region3564	STMN3 (+14112)
Region3565	ARPC3 (+19)
Region3566	ZNF428 (+212)
Region3567	LDLRAD4 (+186908)
Region3568	LIMK2 (-182)
Region3569	AGO3 (-10)
Region3570	FLRT2 (+404419)
Region3571	ATP13A1 (-189)
Region3572	CEP152 (-73)
Region3573	CYTH1 (+33396)
Region3574	TRIM27 (+60304)
Region3575	COLGALT2 (+121573)
Region3576	SLC25A43 (+290)
Region3577	GRAP2 (+58599)
Region3578	AFF1 (+71751)
Region3579	OR4K2 (+19584)
Region3580	CHAF1B (+44846)
Region3581	MX2 (+12871)
Region3582	CD2AP (-71523)
Region3583	POLR1A (+98)
Region3584	MMEL1 (-115635)
Region3585	UBXN2B (+66)
Region3586	AP2B1 (-139)
Region3587	CUL2 (+62365)
Region3588	NONE
Region3589	GINS2 (-85)
Region3590	SEC24C (-161)
Region3591	MAN1A1 (-823466)
Region3592	CD101 (+15566)
Region3593	ZNF599 (-65840)
Region3594	NMNAT2 (+1649)
Region3595	DUSP4 (-357275)
Region3596	TMEM14A (-6601)
Region3597	MANEA (+86)
Region3598	PDGFRA (+148879)
Region3599	FAM53A (+13040)
Region3600	ARHGEF3 (+404)
Region3601	CCDC28B (+558)
Region3602	PPP1R42 (-86)
Region3603	KLF6 (+2422)
Region3604	RORC (+1107)
Region3605	COA1 (+371)
Region3606	UBE2L5P (-50401)
Region3607	MFSD4A (+24755)
Region3608	NRG3 (+93663)
Region3609	ENSG00000254692 (+43)
Region3610	OR2M4 (+6007)
Region3611	ZNF579 (-92)
Region3612	NFIA (-4746)
Region3613	SMCHD1 (+50796)
Region3614	PRCP (+851467)
Region3615	CAST (+780)
Region3616	IFT27 (+32648)
Region3617	PFN2 (-151559)
Region3618	IL20RB (+56348)
Region3619	DLGAP1 (-55574)
Region3620	NOTO (-38318)
Region3621	ENOSF1 (-33)
Region3622	GRB14 (+106542)
Region3623	PRAG1 (+107)
Region3624	SHQ1 (+17)
Region3625	XCL2 (+12129)
Region3626	ZNF716 (+312548)
Region3627	CD109 (+682450)
Region3628	LRCOL1 (+49195)
Region3629	LY86 (-32401)
Region3630	IL7R (-76418)
Region3631	PTP4A3 (+140656)
Region3632	ARHGAP15 (-119)
Region3633	CCDC3 (+320499)
Region3634	GNAQ (+1012)
Region3635	PRLHR (+27098)
Region3636	BICRA (-7716)
Region3637	TMEM245 (+9212)
Region3638	NECAB1 (+238)
Region3639	IGDCC3 (+21973)
Region3640	TPTE (-683118)
Region3641	MARCH8 (+70234)
Region3642	MLPH (-11684)
Region3643	MSTO1 (+27191)
Region3644	CPNE6 (+10315)
Region3645	CD200 (+25026)
Region3646	B3GALT2 (-947604)
Region3647	FOCAD (+70942)
Region3648	SFSWAP (-28798)
Region3649	SP7 (-16379)
Region3650	RPL12 (+71)
Region3651	ENSG00000275674 (+35073)
Region3652	ZNF516 (+4042)
Region3653	ABLIM3 (-121)
Region3654	LHX6 (+14804)
Region3655	NKD1 (-59125)
Region3656	FASLG (+3873)
Region3657	PPFIA2 (+213609)
Region3658	KCNJ3 (+628344)
Region3659	COL21A1 (-295027)
Region3660	USP48 (+33592)
Region3661	TICAM1 (-51)
Region3662	CSTF2T (+290915)
Region3663	RET (-48282)
Region3664	FBXO15 (+269453)
Region3665	HS3ST2 (+97950)
Region3666	IRF2BPL (+29182)
Region3667	CORO6 (+5340)
Region3668	SEMA7A (+670)
Region3669	RUVBL1 (+28465)
Region3670	MDH2 (+60153)
Region3671	UQCRC2 (+48509)
Region3672	EP300 (-146)
Region3673	ACTG1 (+24760)
Region3674	TMC1 (+30055)
Region3675	CRYM (-10027)
Region3676	NEUROD2 (+59872)
Region3677	IDNK (+27197)
Region3678	ACTN4 (+9226)
Region3679	SYT1 (-67923)
Region3680	RREB1 (-21282)
Region3681	ATP8B2 (-2918)
Region3682	DENND4A (-27012)
Region3683	PIKFYVE (+32739)
Region3684	LBH (+26444)
Region3685	TPSG1 (+16464)
Region3686	METTL2B (+5)
Region3687	CHAC2 (+41)
Region3688	PAG1 (-42226)
Region3689	DSG2 (-40)
Region3690	CXXC4 (-245)
Region3691	SND1 (-170)
Region3692	DLST (-24)
Region3693	BLOC1S5 (-63)
Region3694	JPH2 (+117392)
Region3695	HERC3 (-38)
Region3696	ARHGAP24 (+405071)
Region3697	GNPDA2 (+61)
Region3698	RORA (-217163)
Region3699	MBOAT2 (+3)
Region3700	PARD3B (+335963)
Region3701	NTN1 (+106)
Region3702	LRTOMT (-39480)
Region3703	MICALCL (-50582)
Region3704	NMRK1 (+14928)
Region3705	HDAC7 (-13485)
Region3706	FOXD2 (+1848)
Region3707	LRRC4C (-771022)
Region3708	SVIL (+26665)
Region3709	CDCA7L (+197)
Region3710	PAOX (-467)
Region3711	NECTIN3 (-445409)
Region3712	CALHM3 (-6752)
Region3713	HIST1H2AB (-17)
Region3714	FER (-19523)
Region3715	DHRS2 (-4194)
Region3716	ZNF277 (-41)
Region3717	SUCLG2 (-31314)
Region3718	NKPD1 (+5532)
Region3719	UTP14A (+46846)
Region3720	RNF130 (-18486)
Region3721	DNAJC18 (+236)
Region3722	CAPN13 (+38255)
Region3723	GTF3A (-62298)
Region3724	IER5 (+71180)
Region3725	CARMIL3 (-30)
Region3726	GFPT2 (+7)
Region3727	OR11L1 (-3327)
Region3728	PCBP3 (-244)
Region3729	NOL4 (-10561)
Region3730	AGR3 (-61163)
Region3731	DOCK10 (+134380)
Region3732	RNF34 (+43425)
Region3733	MLLT10 (+46549)
Region3734	APPL2 (-94559)
Region3735	TLE3 (-43298)
Region3736	ARHGAP25 (+31686)
Region3737	OVGP1 (+21315)
Region3738	ZPLD1 (+766144)
Region3739	TTLL2 (+26493)
Region3740	DKK1 (+34576)
Region3741	TMPO (-94825)
Region3742	CDKN2A (+15470)
Region3743	FDFT1 (+24936)
Region3744	NONE
Region3745	PRR16 (+87438)
Region3746	NONE
Region3747	FAM167A (+10024)
Region3748	SLC45A1 (-135191)
Region3749	ROBO2 (+551688)
Region3750	CDR2 (-114)
Region3751	BCL11A (+2565)
Region3752	FAM126B (-14)
Region3753	POMGNT2 (-88708)
Region3754	BBS7 (+4)
Region3755	PDXDC1 (+39219)
Region3756	FBLN7 (+43393)
Region3757	CKAP2L (+14729)
Region3758	DNASE2B (-12165)
Region3759	CCDC24 (+95)
Region3760	SUPT5H (+3910)
Region3761	MICAL2 (-81)
Region3762	BRIX1 (+224)
Region3763	NEDD1 (-252)
Region3764	RGS14 (+22)
Region3765	PLEKHG5 (+6860)
Region3766	DIAPH3 (+485723)
Region3767	NONE
Region3768	CHAC2 (-59693)
Region3769	CLN8 (-28115)
Region3770	NMBR (+525848)
Region3771	RPLP0 (-123)
Region3772	BAZ2A (+1405)
Region3773	AKAP7 (+120)
Region3774	CERKL (-22)
Region3775	TWISTNB (+251329)
Region3776	ARHGAP45 (-2810)
Region3777	PLCL1 (+314884)
Region3778	POMK (+6694)
Region3779	TPRG1 (+176755)
Region3780	TFE3 (-144)
Region3781	CD70 (+2940)
Region3782	PRDM5 (+262274)
Region3783	SLC2A3 (-34519)
Region3784	CLCA2 (-13258)
Region3785	PTPA (+67005)
Region3786	AGRN (-620)
Region3787	USP44 (+2678)
Region3788	DLX5 (-43289)
Region3789	TLR10 (+23377)
Region3790	ARL5C (+918)
Region3791	FGFRL1 (+1543)
Region3792	GPR45 (-97456)
Region3793	PDE9A (-60347)
Region3794	TRAPPC10 (+37294)
Region3795	SLCO2A1 (+10128)
Region3796	PLSCR5 (+26305)
Region3797	R3HDM4 (+2)
Region3798	LBH (+18163)
Region3799	ENSG00000258881 (-28590)
Region3800	DBNDD1 (+553)
Region3801	MAN1C1 (+25234)
Region3802	DEFB115 (-880599)
Region3803	MED9 (+33)
Region3804	MAPK8IP3 (-10348)
Region3805	CDC42EP3 (-34480)
Region3806	SLCO1C1 (+31648)
Region3807	FCHO2 (-24)
Region3808	EXOSC6 (-31)
Region3809	KCNT2 (+886170)
Region3810	AP1M2 (-15422)
Region3811	TTC27 (-62534)
Region3812	TTC32 (+33101)
Region3813	PLTP (+925)
Region3814	MBP (+8099)
Region3815	MXRA7 (-22)
Region3816	KIAA1958 (+698)
Region3817	UQCR11 (-320)
Region3818	ARL4D (+45)
Region3819	GRK5 (+93925)
Region3820	ARID1A (-3234)
Region3821	NONE
Region3822	ZNF280C (+40)
Region3823	LMCD1 (-612879)
Region3824	ESCO2 (+11838)
Region3825	CDT1 (+493)
Region3826	NONE
Region3827	EPB41L4B (+76308)
Region3828	PATL1 (-19284)
Region3829	FOXG1 (-323320)
Region3830	TMEM106B (-48)
Region3831	IRF8 (+333)
Region3832	CLASRP (+109)
Region3833	STX16 (-16487)
Region3834	FAM19A2 (+226513)
Region3835	PSMD1 (-18872)
Region3836	AOAH (-60646)
Region3837	LRRN3 (-115408)
Region3838	CSMD1 (-351690)
Region3839	MMRN1 (+533918)
Region3840	NPEPPS (-38433)
Region3841	IL6R (-18355)
Region3842	FGF9 (-324)
Region3843	CCND2 (-29647)
Region3844	FAM208A (-71831)
Region3845	FZD5 (-400)
Region3846	USP19 (-105)
Region3847	RIMS2 (+43598)
Region3848	CPO (+107417)
Region3849	CLEC4M (+36662)
Region3850	PDK3 (-70786)
Region3851	THSD7A (+175047)
Region3852	PIP4K2A (-17)
Region3853	PRAG1 (+67518)
Region3854	MBD5 (+152224)
Region3855	KPNA3 (+31021)
Region3856	ZNF804A (+204470)
Region3857	IFNAR1 (-23454)
Region3858	DPEP2 (-5605)
Region3859	BTG1 (+1660)
Region3860	HKR1 (-12)
Region3861	NANOS2 (-12972)
Region3862	TNFRSF8 (-17049)
Region3863	CDS1 (-32603)
Region3864	RARRES3 (-5199)
Region3865	IGLL5 (+55129)
Region3866	SLC24A2 (+42124)
Region3867	GRINA (+132)
Region3868	GNL3L (-33)
Region3869	FER (-105474)
Region3870	MSN (+177730)
Region3871	SLITRK1 (-646200)
Region3872	PDCD6IP (+286832)
Region3873	MAPKAPK2 (-78)
Region3874	DTWD2 (+740767)
Region3875	TMEM167A (+41723)
Region3876	TMEM62 (+352)
Region3877	PDE4A (+11542)
Region3878	HS3ST5 (-351599)
Region3879	ELP3 (+263)
Region3880	C1GALT1 (+19096)
Region3881	MACF1 (+112901)
Region3882	ADGRL4 (-923860)
Region3883	PAIP2 (-6317)
Region3884	LOR (+12637)
Region3885	ATP5J (-12991)
Region3886	TMTC2 (+406986)
Region3887	KDM5D (+177446)
Region3888	HLF (+1361)
Region3889	ARHGAP31 (+28820)
Region3890	MAP3K6 (+9346)
Region3891	CDC23 (+16785)
Region3892	ZFP36L2 (+201202)
Region3893	KIF26B (+1554)
Region3894	BAZ2A (+48997)
Region3895	TLR6 (+98)
Region3896	IMPG1 (-198421)
Region3897	CD99L2 (+119)
Region3898	DOK2 (+147)
Region3899	LAMB3 (+23555)
Region3900	FAM126A (-127)
Region3901	SCD (+26285)
Region3902	ZSCAN20 (-137)
Region3903	WDR1 (-45084)
Region3904	GRAMD2B (-1319)
Region3905	MTERF1 (+219729)
Region3906	ARL1 (+93)
Region3907	ZNF467 (+1573)
Region3908	DDX1 (+27479)
Region3909	ARID1B (-89994)
Region3910	CELF2 (+89235)
Region3911	VRK1 (+236157)
Region3912	CCT4 (+89)
Region3913	FAM60A (+8714)
Region3914	FAM185A (-329)
Region3915	BFSP1 (+26278)
Region3916	SETD4 (+396637)
Region3917	TMEM117 (+115643)
Region3918	C1orf105 (-20266)
Region3919	VPS13D (-81)
Region3920	TRIM5 (+165)
Region3921	INTS14 (+65)
Region3922	DOCK3 (+32976)
Region3923	CNTN5 (-157179)
Region3924	SPESP1 (-54538)
Region3925	BICD1 (-41962)
Region3926	ZNF594 (-7540)
Region3927	BCL6 (-173508)
Region3928	APOBEC3H (-6661)
Region3929	TBL1X (+179)
Region3930	SLCO4C1 (+99959)
Region3931	DACT1 (-15073)
Region3932	SORCS1 (-788242)
Region3933	ZMIZ1 (-266731)
Region3934	TARDBP (-83426)
Region3935	ZP2 (+25747)
Region3936	SELENOP (-77552)
Region3937	MBD2 (+131076)
Region3938	TMEM270 (+26392)
Region3939	HDHD2 (+67)
Region3940	FAAH (+52813)
Region3941	OR1F1 (+11267)
Region3942	CHRM3 (+90791)
Region3943	IGSF11 (+78804)
Region3944	CITED2 (-524693)
Region3945	TOP1 (-38065)
Region3946	NUP107 (-11093)
Region3947	RBM41 (0)
Region3948	BAIAP2 (-16761)
Region3949	AURKAIP1 (+3436)
Region3950	CDH18 (+842252)
Region3951	RPLP1 (+10055)
Region3952	ABTB2 (-1093)
Region3953	IL32 (+424)
Region3954	CHMP7 (+20176)
Region3955	PABPC4L (+376185)
Region3956	C20orf194 (-7844)
Region3957	ITPR2 (+82619)
Region3958	RPL8 (+106)
Region3959	CITED1 (+1320)
Region3960	RHOJ (-25393)
Region3961	ZNF146 (-17498)
Region3962	JKAMP (+180367)
Region3963	RNF213 (-283)
Region3964	SMARCA2 (-4415)
Region3965	WIF1 (-4)
Region3966	SUPT3H (-111074)
Region3967	MAMDC2 (-78348)
Region3968	DAG1 (+50)
Region3969	ZNF281 (+183561)
Region3970	ENSG00000284299 (+388182)
Region3971	SERPINB1 (-17169)
Region3972	SPESP1 (-5457)
Region3973	TSPAN15 (+56486)
Region3974	CIITA (-17859)
Region3975	FILIP1L (+45503)
Region3976	RADIL (-31)
Region3977	GADD45B (+85907)
Region3978	ARHGAP10 (+328696)
Region3979	PLPPR4 (-119841)
Region3980	CHD7 (-25000)
Region3981	XCR1 (-51265)
Region3982	ZNF85 (-64)
Region3983	VPS13B (-14)
Region3984	SELENOV (-7819)
Region3985	ZNF528 (+11)
Region3986	ARHGAP15 (-94786)
Region3987	TET3 (-7172)
Region3988	RPN2 (+13373)
Region3989	B3GNT5 (+1412)
Region3990	DLL3 (+3965)
Region3991	CD6 (-1154)
Region3992	RASGRP1 (-121351)
Region3993	NEXN (+516)
Region3994	ULBP1 (-9347)
Region3995	ALKAL2 (-149904)
Region3996	GGA1 (-1208)
Region3997	MPPE1 (+754)
Region3998	EDAR (-69938)
Region3999	PRKAA1 (+69)
Region4000	TRHDE (-130120)
Region4001	KPNA6 (+5380)
Region4002	DIAPH3 (-96787)
Region4003	SLC35E2 (-318)
Region4004	DHRS3 (+168130)
Region4005	STT3B (+115412)
Region4006	PITPNC1 (+20773)
Region4007	CENPW (-115321)
Region4008	CTSD (-43)
Region4009	LIPA (-8481)
Region4010	NAPSA (-3112)
Region4011	GALNT2 (+120531)
Region4012	EHD4 (+8357)
Region4013	KLF13 (-60275)
Region4014	CDK13 (+37967)
Region4015	PLOD2 (+587796)
Region4016	RPA3 (-239987)
Region4017	NONE
Region4018	NONE
Region4019	ACTR2 (+73369)
Region4020	GATA3 (+350208)
Region4021	RAB11FIP4 (+190516)
Region4022	RAC2 (-113)
Region4023	PLK1 (+32)
Region4024	VIPR2 (-13223)
Region4025	SESN3 (-106603)
Region4026	NAB1 (+31270)
Region4027	STAMBP (-87)
Region4028	BHLHA9 (-11247)
Region4029	ETV6 (-93778)
Region4030	BEX2 (-67)
Region4031	SACM1L (-12180)
Region4032	MERTK (+555)
Region4033	MFSD1 (-11849)
Region4034	SYNJ2BP (+56)
Region4035	HLA-G (+115455)
Region4036	GLRX (+41459)
Region4037	ARHGEF16 (+77051)
Region4038	NEUROG1 (+9396)
Region4039	ZNF571 (-12)
Region4040	KLRG2 (-16335)
Region4041	DOCK9 (-17096)
Region4042	PCLO (-154047)
Region4043	AARS (-8)
Region4044	USP3 (-17109)
Region4045	SLAMF1 (+17342)
Region4046	ZNF181 (-22217)
Region4047	HIST4H4 (+611)
Region4048	LRRTM1 (-873746)
Region4049	IPPK (+50400)
Region4050	FILIP1 (+26366)
Region4051	MIS18BP1 (-14432)
Region4052	ANGEL1 (-100631)
Region4053	FNDC1 (+228563)
Region4054	CXADR (+462)
Region4055	RAP1GAP (-31819)
Region4056	NCAM2 (-960545)
Region4057	CYP2F1 (+6834)
Region4058	ZBED3 (-46903)
Region4059	PANK2 (+18396)
Region4060	TRAM1L1 (-154364)
Region4061	AOAH (-56782)
Region4062	ENSG00000259753 (+15067)
Region4063	GNG2 (-13088)
Region4064	HHAT (+325067)
Region4065	DNHD1 (+42205)
Region4066	FRMD8 (+34825)
Region4067	IL36A (-8601)
Region4068	RPS27L (+7895)
Region4069	RNF152 (-753)
Region4070	PROX1 (-132130)
Region4071	SLC1A5 (-53)
Region4072	CHRAC1 (+38799)
Region4073	COPS7A (+375)
Region4074	FOXB1 (+123575)
Region4075	SCUBE2 (+38256)
Region4076	GSTO2 (-88)
Region4077	CDH20 (+208823)
Region4078	THOC2 (+8)
Region4079	DAAM2 (+1156)
Region4080	EFR3B (+23996)
Region4081	MYL12B (+35135)
Region4082	PHF21B (+28911)
Region4083	TRAPPC11 (-33)
Region4084	SLC32A1 (-57905)
Region4085	DTNBP1 (+147)
Region4086	NUP88 (+386)
Region4087	GTDC1 (+441864)
Region4088	TMTC2 (+42048)
Region4089	PRDM4 (-70)
Region4090	MAGT1 (+23)
Region4091	NONE
Region4092	NONE
Region4093	ACSBG2 (-9899)
Region4094	ZNF610 (-23)
Region4095	IDH2 (+4834)
Region4096	SYNE1 (+335242)
Region4097	RNLS (+197346)
Region4098	EPB42 (+13774)
Region4099	MGAT5B (-32569)
Region4100	WDFY4 (+22668)
Region4101	NT5C2 (+123613)
Region4102	DPH5 (-102656)
Region4103	ENSG00000283201 (-7)
Region4104	POU2F1 (-40776)
Region4105	TGFBR2 (-342904)
Region4106	CHRM3 (+163545)
Region4107	DHRS4L2 (+7)
Region4108	ENSG00000283526 (+45847)
Region4109	IRF2 (-29564)
Region4110	GSE1 (-77279)
Region4111	LRIG1 (+106668)
Region4112	ROBO2 (-56084)
Region4113	ATAD2 (+950)
Region4114	ACSBG2 (+25818)
Region4115	ARHGEF19 (-4914)
Region4116	EVI5L (+16046)
Region4117	CAMK1G (-130685)
Region4118	XPO6 (+42593)
Region4119	ZNF831 (+36215)
Region4120	PRSS37 (-35321)
Region4121	LDLRAD4 (+104366)
