# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	DDX11 (+46057)
Region4144	BMS1 (+83573)
Region4145	LEXM (-4747)
Region4146	IPO7 (+77)
Region4147	LRRC57 (+42)
Region4148	ITM2B (-46757)
Region4149	PSAT1 (+53270)
Region4150	ACTR8 (+139)
Region4151	GPAA1 (+8)
Region4152	POM121C (+43496)
Region4153	ZNF750 (-23573)
Region4154	DYNC1H1 (+56235)
Region4155	CLCA2 (-4385)
Region4156	ACSM6 (-10276)
Region4157	ZNF219 (+5973)
Region4158	NONE
Region4159	PPP1R15B (+13113)
Region4160	RAPGEF2 (-164750)
Region4161	MAN1A2 (+85643)
Region4162	ELMO1 (-106197)
Region4163	MYMK (+15365)
Region4164	ABCG2 (+7)
Region4165	COG3 (+109549)
Region4166	RAB5A (+6)
Region4167	DEFB131A (+87846)
Region4168	PARP8 (+27894)
Region4169	APLF (-25874)
Region4170	FASN (-55631)
Region4171	FAM98B (-87805)
Region4172	FAM129B (-10091)
Region4173	RASA2 (+187)
Region4174	RNF6 (+580)
Region4175	RNASEH2B (+256)
Region4176	USP6NL (+179837)
Region4177	GALNT6 (-8161)
Region4178	KIAA1328 (-81)
Region4179	PDIA4 (+41077)
Region4180	TC2N (-13636)
Region4181	ACP7 (-262)
Region4182	ENSG00000263620 (-14)
Region4183	CD177 (+104)
Region4184	TRAIP (+10866)
Region4185	MELTF (+26734)
Region4186	MYNN (+502)
Region4187	MRPS31 (+35877)
Region4188	FAM135B (+32199)
Region4189	TYSND1 (+357)
Region4190	KCNJ12 (+135488)
Region4191	PATJ (+41145)
Region4192	SLC25A26 (+168827)
Region4193	GPR155 (-66922)
Region4194	RAPGEF4 (+106398)
Region4195	NDRG3 (-8817)
Region4196	CREB1 (+6)
Region4197	PSME3 (-178)
Region4198	THRA (+118)
Region4199	TMEM40 (-14600)
Region4200	TMX3 (+214755)
Region4201	DMAC1 (-721719)
Region4202	PIK3IP1 (+13371)
Region4203	PRR14 (-581)
Region4204	IFT43 (+73)
Region4205	SEC61B (+129643)
Region4206	CHUK (+98)
Region4207	CD52 (-11303)
Region4208	KIAA1586 (+37)
Region4209	JAZF1 (+52165)
Region4210	RSG1 (+87)
Region4211	LRRFIP1 (-146)
Region4212	GRID1 (-33572)
Region4213	APOLD1 (-1725)
Region4214	RNGTT (+54403)
Region4215	ZNF516 (+518670)
Region4216	RBM46 (+173170)
Region4217	NONE
Region4218	MED21 (-76)
Region4219	RAD23B (-147453)
Region4220	BHLHE23 (-3425)
Region4221	FRMD4A (-168217)
Region4222	BTBD11 (+2345)
Region4223	SLC2A3 (-24611)
Region4224	C5orf38 (+169200)
Region4225	ITGB5 (+97)
Region4226	SIPA1L2 (+424445)
Region4227	GPR176 (-57)
Region4228	NONE
Region4229	RSU1 (-182)
Region4230	MRPS16 (-18613)
Region4231	FUT8 (-123173)
Region4232	PLEKHF2 (-73)
Region4233	ST7 (+157594)
Region4234	KIT (+26285)
Region4235	POMK (+100)
Region4236	TRIM50 (+3446)
Region4237	KLF6 (+236294)
Region4238	RASSF8 (-98843)
Region4239	TET3 (+46148)
Region4240	LYPD1 (-252681)
Region4241	SLC1A3 (+271)
Region4242	CELF2 (+145385)
Region4243	BCHE (-298748)
Region4244	FUT4 (+225)
Region4245	FAM13C (-155)
Region4246	IRS2 (-235402)
Region4247	EIF5A (+1983)
Region4248	AQP2 (-5248)
Region4249	CXXC5 (-29010)
Region4250	SLC41A3 (+256)
Region4251	FAM98B (+167)
Region4252	ANKRD7 (+796552)
Region4253	ARHGAP42 (-696653)
Region4254	KLHL1 (+886346)
Region4255	AKR1B1 (+63123)
Region4256	PTTG1 (-18)
Region4257	APCS (-85)
Region4258	GPR153 (-231)
Region4259	UBE3A (-16437)
Region4260	SLC30A5 (-50523)
Region4261	HLA-B (+693)
Region4262	GADD45B (+58259)
Region4263	GREM2 (-90903)
Region4264	RGS2 (-52431)
Region4265	ADAMTS17 (-72)
Region4266	COL1A2 (+39956)
Region4267	TBX2 (-128094)
Region4268	LZTS1 (-227610)
Region4269	ADAM9 (+35181)
Region4270	RALGDS (+17734)
Region4271	CD2BP2 (+75)
Region4272	ASXL3 (-295840)
Region4273	SHROOM1 (+758)
Region4274	ZFP36L2 (+194793)
Region4275	DNAL4 (+29)
Region4276	FLNA (+5695)
Region4277	DUS4L (-19994)
Region4278	ZBTB10 (+93005)
Region4279	KRT23 (+24843)
Region4280	TMEFF2 (-699172)
Region4281	SCML1 (+394)
Region4282	MAGI2 (+701520)
Region4283	WDR1 (-51022)
Region4284	RBM42 (-106)
Region4285	DNAJB6 (+134628)
Region4286	ENSG00000274322 (+451)
Region4287	FASLG (+40309)
Region4288	CRACR2A (+24542)
Region4289	TSC22D4 (-37)
Region4290	TMEM14C (-2280)
Region4291	ARMC7 (-139)
Region4292	SLC27A3 (+459)
Region4293	JAZF1 (+778)
Region4294	SDHAF4 (+5)
Region4295	PLLP (-15969)
Region4296	XRN1 (-60793)
Region4297	RPS14 (-9239)
Region4298	NONE
Region4299	LBR (+14087)
Region4300	OXT (+5948)
Region4301	MAPK13 (+715)
Region4302	TMEM108 (-156289)
Region4303	UBLCP1 (+15)
Region4304	DUSP16 (+96049)
Region4305	TAF11 (+82)
Region4306	TNIP2 (+78214)
Region4307	TMEM212 (+90975)
Region4308	ZNF598 (+479)
Region4309	PRIM2 (-103)
Region4310	FAM19A3 (+24042)
Region4311	DTNA (+151271)
Region4312	NMBR (+790703)
Region4313	SLN (-13562)
Region4314	PTPN20 (-145478)
Region4315	OSBPL8 (+184)
Region4316	ITGB2 (+8097)
Region4317	MCM9 (+201)
Region4318	ASPHD1 (-495)
Region4319	F2R (+23036)
Region4320	MATN4 (+11653)
Region4321	GLRB (-5982)
Region4322	ENSG00000259060 (-3814)
Region4323	WDR48 (+15)
Region4324	LDHA (-1784)
Region4325	SUCLG1 (+861879)
Region4326	STX2 (+56655)
Region4327	FXYD2 (+1213)
Region4328	CXCR4 (-211306)
Region4329	CUL7 (+94)
Region4330	TRAF5 (+84)
Region4331	SLC35A3 (+21422)
Region4332	ZNF706 (+96120)
Region4333	ZBBX (+243136)
Region4334	FST (-54012)
Region4335	RECK (+446)
Region4336	CKAP4 (-549)
Region4337	MORC3 (-21894)
Region4338	NMRK1 (-157)
Region4339	ATG12 (+85)
Region4340	KLF2 (+17738)
Region4341	CHCHD4 (+807)
Region4342	NOSIP (-24)
Region4343	GSTM1 (+57)
Region4344	ZBTB17 (+38)
Region4345	ANXA2R (+2741)
Region4346	BMP1 (+51)
Region4347	AFAP1L2 (-52)
Region4348	SPNS2 (+11)
Region4349	ATP6V1E1 (+8)
Region4350	EXOC3 (-27641)
Region4351	SLFN11 (+27422)
Region4352	ZNF880 (-18)
Region4353	DYNLRB2 (+86342)
Region4354	TXLNG (-57)
Region4355	LRMP (-359)
Region4356	PHOX2A (-41866)
Region4357	RNF8 (+19)
Region4358	RHCG (+65787)
Region4359	SSR3 (-20727)
Region4360	DVL3 (-9974)
Region4361	SMPD2 (-38)
Region4362	PLCG2 (-146265)
Region4363	DYNC1LI2 (+71)
Region4364	PRDX6 (-74450)
Region4365	ZNF554 (-18)
Region4366	HNRNPF (-12273)
Region4367	ZIC3 (-254496)
Region4368	WIPF2 (-114)
Region4369	MBD2 (+85)
Region4370	IL21 (+42418)
Region4371	IDH2 (+5235)
Region4372	OTOS (-88614)
Region4373	TPCN2 (+172140)
Region4374	SPOCK2 (+1337)
Region4375	CDKN2B (+14227)
Region4376	AHCYL2 (+103388)
Region4377	BIN1 (+330)
Region4378	CEBPE (-489)
Region4379	KIDINS220 (+65)
Region4380	KIF3B (-28263)
Region4381	SOX21 (-205549)
Region4382	LIPM (+33355)
Region4383	TSG101 (+509)
Region4384	CELF2 (+131952)
Region4385	RGCC (-29231)
Region4386	UBASH3B (-74489)
Region4387	UBASH3B (-121245)
Region4388	PAQR3 (-11)
Region4389	SEMA5B (+84988)
Region4390	ZC3H14 (+138)
Region4391	POMGNT2 (-48565)
Region4392	PEX10 (-95)
Region4393	ZNF93 (-166)
Region4394	PTPRE (+5)
Region4395	BMP7 (+108015)
Region4396	RPS21 (-77)
Region4397	STEAP1 (+24598)
Region4398	PARD3B (-452)
Region4399	MATR3 (+117)
Region4400	WSB1 (+59829)
Region4401	VRK2 (-210540)
Region4402	NAGA (-40)
Region4403	SEMA6D (-533975)
Region4404	GAS2L3 (+223)
Region4405	IFNL3 (-2073)
Region4406	KIAA1191 (+136)
Region4407	MZT2A (-190083)
Region4408	CACNA1D (-429)
Region4409	PARS2 (-185)
Region4410	RALGAPB (-26144)
Region4411	TBK1 (+22905)
Region4412	C15orf39 (+3255)
Region4413	PROK2 (-256809)
Region4414	SPIN1 (-65365)
Region4415	ENSG00000274322 (+17453)
Region4416	MARCH6 (-153)
Region4417	TEX51 (-121484)
Region4418	MAP3K5 (+30734)
Region4419	LONRF3 (-52456)
Region4420	FEZF2 (+130775)
Region4421	APOL3 (+36787)
Region4422	NRIP1 (-225577)
Region4423	JAK1 (-36184)
Region4424	ARL11 (+7651)
Region4425	CCND1 (-102214)
Region4426	ANP32B (+1227)
Region4427	NDNF (+62625)
Region4428	TBCA (-40)
Region4429	NONE
Region4430	ZNF613 (+57)
Region4431	GTF2A1 (+50332)
Region4432	PHOSPHO1 (-59180)
Region4433	APPL2 (-94503)
Region4434	MSLN (-9131)
Region4435	TSKS (+17108)
Region4436	HRNR (+8239)
Region4437	DERA (+222)
Region4438	CEP162 (+70051)
Region4439	CHRM3 (-796131)
Region4440	TOR3A (+711)
Region4441	IL23R (+4563)
Region4442	CLEC18C (-8354)
Region4443	ERO1B (-120)
Region4444	CRHR1 (-106)
Region4445	PSIP1 (-90)
Region4446	NONE
Region4447	KYAT3 (-17)
Region4448	ANXA6 (+158)
Region4449	ZNF774 (+14)
Region4450	ARHGEF7 (+38401)
Region4451	CMTR2 (+182)
Region4452	TMEFF2 (+91)
Region4453	ANKHD1 (-151)
Region4454	ELF4 (+82)
Region4455	PMPCA (+15)
Region4456	ERRFI1 (-126623)
Region4457	CAMK2D (-1349)
Region4458	GRK2 (-25231)
Region4459	OS9 (-185)
Region4460	EFCAB10 (-110532)
Region4461	OPRK1 (-264607)
Region4462	RAB11A (-36481)
Region4463	ANP32B (-10876)
Region4464	ROBO1 (+55054)
Region4465	PPM1B (-81538)
Region4466	FOXO1 (+231504)
Region4467	CLPTM1L (+36)
Region4468	S100P (+3348)
Region4469	CLUAP1 (-86)
Region4470	CIAO1 (-23)
Region4471	TSPYL5 (+39819)
Region4472	RPRML (-14127)
Region4473	LRR1 (+175)
Region4474	GNPDA2 (-10607)
Region4475	TUB (-19229)
Region4476	KHDRBS3 (+13331)
Region4477	MCRS1 (-1660)
Region4478	ZNF778 (-1118)
Region4479	XKR6 (-254)
Region4480	RUFY1 (+9524)
Region4481	TRIM36 (+224374)
Region4482	C1orf159 (-28173)
Region4483	ABTB2 (-99)
Region4484	RNGTT (+136008)
Region4485	ATP2B1 (+778)
Region4486	SLC7A9 (+50933)
Region4487	SKI (+27335)
Region4488	NONE
Region4489	TRIM15 (+6981)
Region4490	NONE
Region4491	KBTBD8 (-155)
Region4492	RCC2 (-69)
Region4493	COG1 (-171)
Region4494	ZNF770 (-14081)
Region4495	SLC11A2 (+1853)
Region4496	ENDOD1 (+9478)
Region4497	SRGN (+2077)
Region4498	KIZ (-23952)
Region4499	GPR157 (-53818)
Region4500	LMNA (+532)
Region4501	RAI2 (+55869)
Region4502	NEDD1 (+126777)
Region4503	C3orf58 (+960246)
Region4504	RFC1 (+49)
Region4505	EHMT1 (+86834)
Region4506	SLC27A1 (-722)
Region4507	BORA (-108)
Region4508	ZBTB24 (-160)
Region4509	KCNQ4 (-8590)
Region4510	PEX16 (-246)
Region4511	SYNDIG1 (+73200)
Region4512	WSB1 (-561581)
Region4513	HLA-DRA (+44942)
Region4514	JAK1 (-30)
Region4515	ISG15 (+147)
Region4516	SLC35E4 (-888)
Region4517	RPRML (-88182)
Region4518	SIN3B (-21672)
Region4519	PRCD (+17660)
Region4520	RNF103 (-47684)
Region4521	YTHDF3 (+101110)
Region4522	SPTSSA (+14751)
Region4523	SETBP1 (-482430)
Region4524	TXNL1 (-107)
Region4525	RDH8 (+14296)
Region4526	ZNF831 (+26642)
Region4527	GAPVD1 (-52)
Region4528	UFSP2 (-77)
Region4529	DDX47 (-4875)
Region4530	GPC6 (+324434)
Region4531	VWA3B (-296)
Region4532	WBP4 (+294)
Region4533	CLEC4E (-3573)
Region4534	FCRLB (+5388)
Region4535	DPH3 (-56)
Region4536	QSOX1 (+28)
Region4537	TRIB2 (-201870)
Region4538	NEK11 (+131801)
Region4539	RBX1 (-28347)
Region4540	ASAP3 (-392)
Region4541	SNX32 (+157)
Region4542	RAB9A (+52)
Region4543	OLIG2 (-93355)
Region4544	KPNB1 (-148)
Region4545	DAP (-526219)
Region4546	ANTXRL (-2264)
Region4547	IRF2BP1 (-387)
Region4548	CHRM2 (+198422)
Region4549	NONE
Region4550	RCOR1 (-37291)
Region4551	CDKN2C (+17424)
Region4552	ENSG00000280571 (-39)
Region4553	FGF14 (-70811)
Region4554	GMPR (+243287)
Region4555	STK17B (-91767)
Region4556	NONE
Region4557	AP1M1 (+19236)
Region4558	NONE
Region4559	MAPKAPK3 (+100)
Region4560	NONE
Region4561	AGTRAP (+55)
Region4562	CLLU1 (+146334)
Region4563	CD109 (+43472)
Region4564	FSCN1 (+37437)
Region4565	SHC4 (+230)
Region4566	TBC1D5 (+211837)
Region4567	FAM135B (+101778)
Region4568	CREM (-341)
Region4569	IGFBP1 (-76703)
Region4570	RASGEF1B (+76710)
Region4571	ITPR1 (+6960)
Region4572	MAP4K3 (+17)
Region4573	TSPAN14 (+137365)
Region4574	MRPL30 (+8)
Region4575	CREB1 (-35721)
Region4576	ZSWIM4 (-194)
Region4577	SLC24A4 (+291)
Region4578	PLD5 (+17854)
Region4579	TPTE (-562257)
Region4580	CUL9 (-34)
Region4581	POT1 (-882263)
Region4582	CACUL1 (+56607)
Region4583	ZSCAN26 (+46)
Region4584	SLC25A46 (+101939)
Region4585	CGN (-100)
Region4586	TUBA3C (+371193)
Region4587	PAPOLG (-81492)
Region4588	GON7 (-44)
Region4589	AREG (-47)
Region4590	UBE2R2 (-31117)
Region4591	SEC11A (-250)
Region4592	ISG20 (+25717)
Region4593	TOX (-501)
Region4594	IAPP (-3193)
Region4595	DHFR2 (-285420)
Region4596	NONE
Region4597	FMNL2 (-15109)
Region4598	NDUFB9 (+81)
Region4599	SIAH2 (+151)
Region4600	SIRPA (-17347)
Region4601	CLVS1 (-183087)
Region4602	HIVEP1 (-3668)
Region4603	POLR2F (-22)
Region4604	SAT1 (-108)
Region4605	PCDH10 (-49739)
Region4606	CLEC20A (+72127)
Region4607	P4HB (-208)
Region4608	SBNO1 (-13719)
Region4609	EPHA3 (+573114)
Region4610	SNTG1 (-91397)
Region4611	TMEM130 (+43069)
Region4612	CCL5 (-19949)
Region4613	SPON1 (-38601)
Region4614	COX7C (-844197)
Region4615	FBRSL1 (-44436)
Region4616	PLA2G4A (+731800)
Region4617	DAP (-50)
Region4618	UBE2H (+127086)
Region4619	RSPH1 (+35578)
Region4620	VPS54 (-30931)
Region4621	IL15RA (-148)
Region4622	GNPDA1 (-12339)
Region4623	CDH12 (+517052)
Region4624	DLX2 (+537)
Region4625	VPS37D (-19803)
Region4626	DNAI1 (-20771)
Region4627	XPO1 (-76814)
Region4628	SPAG6 (-4813)
Region4629	ABHD17B (-444)
Region4630	ETS2 (+138909)
Region4631	NADK2 (-314)
Region4632	LRTOMT (-39569)
Region4633	VGLL3 (+228469)
Region4634	MDH2 (+118647)
Region4635	RAB15 (-36)
Region4636	ZNF678 (+16071)
Region4637	CETN3 (+364304)
Region4638	PIK3R6 (-31525)
Region4639	SEC14L1 (-80618)
Region4640	P2RX7 (-3599)
Region4641	MYO18A (+194)
Region4642	STX7 (-67)
Region4643	CDH6 (-847976)
Region4644	TRNAU1AP (-81)
Region4645	ESCO1 (+86086)
Region4646	CD8B (-630)
Region4647	GRM8 (+19264)
Region4648	ZMYM5 (-151)
Region4649	SFR1 (+27685)
Region4650	IL17D (+786)
Region4651	RBFA (-184)
Region4652	NSUN7 (+249)
Region4653	MAN2A1 (+70)
Region4654	PTGER2 (-156)
Region4655	TRHDE (+213536)
Region4656	STXBP2 (-45)
Region4657	PCGF3 (-82)
Region4658	SPATA7 (+290)
Region4659	THEMIS2 (+12)
Region4660	UBE2V1 (+44492)
Region4661	CD7 (+1618)
Region4662	ARHGEF7 (-47727)
Region4663	MFSD13A (+17796)
Region4664	CBWD6 (-167364)
Region4665	TIMM17A (-62)
Region4666	MATN1 (+38029)
Region4667	HASPIN (-66)
Region4668	ZFY (-73)
Region4669	NAV2 (-775)
Region4670	PRKAB2 (+72832)
Region4671	UBTF (+11108)
Region4672	RAI14 (+34907)
Region4673	ENSG00000283201 (-51)
Region4674	ARL17A (-308)
Region4675	NMT1 (-111)
Region4676	EP400 (-1228)
Region4677	QDPR (+64358)
Region4678	PAM (-146758)
Region4679	REEP5 (-7609)
Region4680	ATF7IP (-199195)
Region4681	COLCA2 (+843)
Region4682	SMIM14 (+51)
Region4683	CA2 (-188)
Region4684	POU6F2 (+219333)
Region4685	PGRMC1 (+59)
Region4686	EPS8L1 (+11071)
Region4687	HDGFL3 (+1214)
Region4688	ZDHHC21 (+158761)
Region4689	CNTNAP2 (-516163)
Region4690	ADAMTS20 (+272560)
Region4691	SIRT2 (+83)
Region4692	OTUD4 (-55646)
Region4693	THBS1 (-153839)
Region4694	TDRD3 (-491)
Region4695	DEPDC7 (+72)
Region4696	GLYATL3 (+50782)
Region4697	CAMK2B (-9758)
Region4698	SLC25A29 (+614)
Region4699	PDXDC1 (+14408)
Region4700	MAP7 (-29775)
Region4701	WNT10A (+33122)
Region4702	HOXB9 (-172)
Region4703	WDR34 (+45605)
Region4704	WDSUB1 (-159424)
Region4705	KCNK12 (+82173)
Region4706	PHTF1 (+44685)
Region4707	LEPR (-279)
Region4708	CRTAP (+488)
Region4709	IGFBP3 (+461)
Region4710	MRGPRX1 (-26322)
Region4711	FANK1 (-268)
Region4712	BSN (+48964)
Region4713	PLXNA2 (-175706)
Region4714	TFAP4 (+1148)
Region4715	NR3C2 (-25)
Region4716	FCGR1B (+10226)
Region4717	RNPS1 (-770)
Region4718	ADAMTSL4 (+13810)
Region4719	ELL3 (+184)
Region4720	OPA1 (+95)
Region4721	PRDM5 (+29785)
Region4722	SENP5 (+22)
Region4723	UNC5B (-41650)
Region4724	NOTUM (-6783)
Region4725	POGK (-615)
Region4726	SIPA1L2 (-68728)
Region4727	N6AMT1 (+650623)
Region4728	C5orf22 (+15389)
Region4729	XRCC5 (+1773)
Region4730	KLHL28 (+63902)
Region4731	HEXIM1 (-134)
Region4732	KLF6 (+20453)
Region4733	BMP7 (+142060)
Region4734	MYO3B (+155020)
Region4735	LIMS1 (-33517)
Region4736	EBAG9 (-451)
Region4737	ANKRD11 (+54343)
Region4738	LTA (+431)
Region4739	RAB28 (+28895)
Region4740	PALM (-5006)
Region4741	SDC3 (-20673)
Region4742	GAS7 (+2817)
Region4743	DPYS (+50547)
Region4744	TAF1L (-35894)
Region4745	TMEM209 (+69)
Region4746	SSR3 (+30432)
Region4747	JUP (-31)
Region4748	ENSG00000260734 (+1344)
Region4749	LSG1 (+38990)
Region4750	HINT1 (+390161)
Region4751	KSR2 (+271934)
Region4752	SETBP1 (-230359)
Region4753	S100A4 (+633)
Region4754	SNX14 (-84)
Region4755	BLK (+70605)
Region4756	GNAZ (-55606)
Region4757	LLPH (-31)
Region4758	SLC27A2 (+224)
Region4759	GSR (+35)
Region4760	TMPO (-233489)
Region4761	ADM (+2872)
Region4762	ZNF197 (-3924)
Region4763	UCK2 (+877)
Region4764	MFSD4A (+23139)
Region4765	PRMT6 (-49316)
Region4766	C7orf25 (+5)
Region4767	CABYR (-168441)
Region4768	FOXB1 (-155041)
Region4769	IRF4 (+388)
Region4770	PCDH7 (-33931)
Region4771	LRP12 (-76540)
Region4772	GTF2E1 (+52594)
Region4773	MAP4 (+167)
Region4774	TDRP (-276533)
Region4775	RAMP1 (+39340)
Region4776	ZFP90 (+51402)
Region4777	TCF7L1 (-156)
Region4778	DPYD (-133215)
Region4779	GRPEL1 (-35200)
Region4780	TMEM121 (+32471)
Region4781	FBXL5 (+88)
Region4782	BCL11B (-76680)
Region4783	HTATIP2 (-8420)
Region4784	KDM4C (-53325)
Region4785	NOG (-816)
Region4786	ST3GAL1 (+99530)
Region4787	WSB1 (-21)
Region4788	SLC35D3 (-155)
Region4789	GCM1 (-94947)
Region4790	RGMB (+4306)
Region4791	RAPH1 (+50910)
Region4792	PRKAB1 (+134)
Region4793	ZNF703 (-434057)
Region4794	MTX3 (+132956)
Region4795	RNF19A (-6867)
Region4796	CHI3L2 (+3411)
Region4797	XPO6 (-6412)
Region4798	FUT8 (+436663)
Region4799	PATJ (+59)
Region4800	SERINC5 (+74329)
Region4801	CCDC184 (+38)
Region4802	ABHD1 (-123)
Region4803	NONE
Region4804	GRID2 (-119837)
Region4805	EXPH5 (+34160)
Region4806	LRRC37A3 (-764)
Region4807	HACE1 (+203830)
Region4808	CPSF6 (-106)
Region4809	HASPIN (+31180)
Region4810	QRSL1 (-26)
Region4811	TRAF3 (-82716)
Region4812	MPC1 (-28793)
Region4813	TAS2R42 (+15513)
Region4814	OBP2B (-29955)
Region4815	ETNPPL (+148)
Region4816	ERVV-1 (-20352)
Region4817	IPO5 (+22810)
Region4818	SATB2 (+288326)
Region4819	ZSCAN23 (-42)
Region4820	RAB11FIP2 (+74080)
Region4821	PHTF1 (-24288)
Region4822	FOXD2 (+212935)
Region4823	ZNF701 (+30606)
Region4824	DNPH1 (+82)
Region4825	SLITRK6 (-552083)
Region4826	DAOA (-254301)
Region4827	ADAMTS3 (+37661)
Region4828	SPDYE3 (-35444)
Region4829	PDGFD (-286425)
Region4830	NBEAL2 (+19)
Region4831	PGLYRP1 (+6190)
Region4832	CCDC12 (-27486)
Region4833	ST3GAL1 (-327544)
Region4834	GCLC (+182)
Region4835	EID2B (-22)
Region4836	ARHGAP44 (+3812)
Region4837	TPD52L1 (+651)
Region4838	ISL1 (+561048)
Region4839	FAM120C (+341)
Region4840	SLC35C2 (+135)
Region4841	RALGAPB (-38150)
Region4842	NFAT5 (-232)
Region4843	NAMPT (+19)
Region4844	UTP15 (+20521)
Region4845	CRYL1 (-113)
Region4846	GJA10 (+90462)
Region4847	PRKCQ (-4)
Region4848	PMEPA1 (-161130)
Region4849	PPCS (-65)
Region4850	SESTD1 (+31103)
Region4851	ACVR2A (-180838)
Region4852	TMPRSS13 (-22084)
Region4853	PQLC1 (-66)
Region4854	SH2B3 (+29132)
Region4855	MYH10 (-320)
Region4856	ATP2B1 (-228611)
Region4857	UVRAG (-132)
Region4858	IBTK (-38)
Region4859	AKT1S1 (-12478)
Region4860	QKI (+625571)
Region4861	ATP6V1C1 (-5237)
Region4862	CD300E (-33745)
Region4863	FBXO5 (-206)
Region4864	TET1 (-116)
Region4865	CEP162 (-16965)
Region4866	ZNF506 (+4223)
Region4867	SLC30A5 (-381957)
Region4868	KCTD8 (+135502)
Region4869	PPP2R5C (-39637)
Region4870	USP38 (-75323)
Region4871	LRRC28 (-9)
Region4872	DERL1 (+3031)
Region4873	KLF7 (+22158)
Region4874	EPAS1 (+375)
Region4875	ADGRG6 (+6)
Region4876	NONE
Region4877	CAGE1 (+55)
Region4878	ATL2 (+33)
Region4879	GLDC (-35717)
Region4880	MBD3L1 (+306)
Region4881	MMEL1 (-21448)
Region4882	SEC13 (-49)
Region4883	RPRD1A (+121069)
Region4884	PARN (+22789)
Region4885	LY86 (-32686)
Region4886	DCN (-192296)
Region4887	TEX29 (+290415)
Region4888	WDR43 (-17)
Region4889	NDUFV2 (-6)
Region4890	RFK (+16633)
Region4891	PZP (-75345)
Region4892	IL7R (-26135)
Region4893	RALA (+122184)
Region4894	RBM41 (+4919)
Region4895	SLC27A1 (-103)
Region4896	OTUD7A (-66673)
Region4897	HGNC:18790 (+39194)
Region4898	JADE1 (+167)
Region4899	TMEM99 (-201)
Region4900	SNAI1 (-166)
Region4901	RALYL (-244159)
Region4902	SNAPC4 (-5025)
Region4903	NEUROD1 (-22874)
Region4904	SLC45A3 (-16223)
Region4905	PDAP1 (+36)
Region4906	PRG4 (-254521)
Region4907	APOC1 (+783)
Region4908	TIPARP (-367)
Region4909	MYO18A (+39212)
Region4910	CHAC1 (-11284)
Region4911	VRK2 (-509592)
Region4912	NUCKS1 (+498)
Region4913	MRPL37 (-59)
Region4914	ZNF750 (-42327)
Region4915	EDN2 (-31622)
Region4916	CPA6 (+80165)
Region4917	SEMA3C (-303986)
Region4918	MRPS16 (+13)
Region4919	F5 (-18363)
Region4920	CHRNE (+2164)
Region4921	RNASE4 (-276)
Region4922	CEP57 (+16467)
Region4923	MRPL9 (+44)
Region4924	NUDCD3 (+13308)
Region4925	ITGB2 (+17106)
Region4926	YY1 (+1252)
Region4927	MPPED1 (+176261)
Region4928	PTPN21 (-2967)
Region4929	ZNF814 (+138)
Region4930	DLX3 (-1649)
Region4931	MMRN1 (+919506)
Region4932	GLRX5 (-18289)
Region4933	PPIAL4G (+44135)
Region4934	THBS2 (-86203)
Region4935	HSD17B14 (-565)
Region4936	CHRNA2 (+23360)
Region4937	SP8 (-43181)
Region4938	MARVELD3 (-15039)
Region4939	TNS3 (+390344)
Region4940	RFPL4B (+749729)
Region4941	MAML1 (-171)
Region4942	TAF2 (+45)
Region4943	LMF2 (-199)
Region4944	TRABD2B (-97143)
Region4945	RNASEK (-7352)
Region4946	NONE
Region4947	GRID2 (-535720)
Region4948	OPRK1 (-295472)
Region4949	CNTN4 (-248903)
Region4950	CLEC4E (-13999)
Region4951	PI4K2B (-17)
Region4952	CRTC3 (+64536)
Region4953	UTRN (+39979)
Region4954	NEB (+95898)
Region4955	ANKRD27 (-103)
Region4956	CNTN6 (-217437)
Region4957	CD5 (-18533)
Region4958	PCDH20 (-487397)
Region4959	ENSG00000261341 (-11820)
Region4960	MKS1 (-24)
Region4961	B3GALT2 (-262501)
Region4962	SASH1 (+6846)
Region4963	SLC30A4 (+134)
Region4964	GABRB3 (+122047)
Region4965	ENSG00000284479 (-48483)
Region4966	KHDRBS3 (+333450)
Region4967	ZNF516 (+4029)
Region4968	ATP6AP1L (+19151)
Region4969	NRP2 (+24682)
Region4970	LRRC4C (-337429)
Region4971	NDUFB6 (-7)
Region4972	PVRIG (+2184)
Region4973	PLET1 (-29334)
Region4974	CMYA5 (+23240)
Region4975	PAX5 (-26625)
Region4976	TMEM234 (0)
Region4977	NUP35 (+288032)
Region4978	TBX20 (+332)
Region4979	FRYL (-112)
Region4980	NONE
Region4981	NAT10 (+16)
Region4982	CEP72 (+17)
Region4983	SLC26A6 (-87)
Region4984	C20orf24 (-9940)
Region4985	PDCL3 (+81556)
Region4986	PRKCA (+28580)
Region4987	UFC1 (+237)
Region4988	RASA3 (+21891)
Region4989	LARS2 (-51)
Region4990	KLC1 (-21997)
Region4991	TRDMT1 (-4711)
Region4992	UFL1 (-43467)
Region4993	ABCA13 (+439539)
Region4994	KLHL34 (+67692)
Region4995	SLC12A2 (-513)
Region4996	ZFYVE9 (+6)
Region4997	TPK1 (+50)
Region4998	LCOR (+56276)
Region4999	ARAP2 (+703046)
Region5000	HOXC4 (-466)
Region5001	CAV1 (+157)
Region5002	NEB (+29854)
Region5003	FUCA1 (-6450)
Region5004	HHAT (+325054)
Region5005	TRIM37 (+101490)
Region5006	MKNK1 (-107)
